ticker,event_date,close,52w_low_level,pct_below_52w_low
WFC,2020-10-27,19.263174057006836,19.80845832824707,-2.7527850083247207
FDX,2021-09-22,208.89105224609375,212.91131591796875,-1.8882339130457226
VZ,2021-10-11,39.73512649536133,39.86967086791992,-0.3374604546004689
T,2021-11-09,14.499289512634277,14.55210018157959,-0.3629075410857996
BMY,2021-11-29,45.85907745361328,47.41178512573242,-3.2749403297122837
MDT,2021-11-30,93.25944519042969,95.25773620605469,-2.0977729423492075
DIS,2021-11-30,141.56619262695312,144.4092559814453,-1.9687542430503746
BA,2021-12-01,188.19000244140625,194.02999877929688,-3.0098419701241386
CMCSA,2021-12-13,39.12806701660156,39.186744689941406,-0.14973857564367643
DIS,2022-01-21,134.21922302246094,138.87945556640625,-3.355595343414197
AMZN,2022-01-21,142.64300537109375,147.59750366210938,-3.3567629316806125
MMM,2022-01-26,120.92961883544922,120.94770812988281,-0.014956293685342015
HON,2022-02-03,165.16317749023438,169.8834991455078,-2.778563944712731
META,2022-02-03,235.90869140625,252.70689392089844,-6.647306788514662
SBUX,2022-02-04,85.7336196899414,86.02239990234375,-0.3357035059823765
CMCSA,2022-02-14,39.066314697265625,39.12806701660156,-0.15782103243111578
CRM,2022-02-17,197.6287384033203,202.8651123046875,-2.581209672712259
INTC,2022-02-18,42.09130096435547,44.109622955322266,-4.57569540553796
CAT,2022-02-23,173.72030639648438,174.0229034423828,-0.17388346011513178
FDX,2022-02-23,196.50698852539062,198.6690216064453,-1.0882587851756664
JPM,2022-02-28,127.855224609375,130.3347930908203,-1.902460902912928
C,2022-03-03,49.80081558227539,49.97761154174805,-0.35375031742957974
BA,2022-03-04,180.83999633789062,188.19000244140625,-3.905630484172018
GE,2022-03-04,54.380313873291016,54.49012756347656,-0.20152951570470146
NKE,2022-03-07,116.2484359741211,117.82721710205078,-1.3399120905675743
ADBE,2022-03-11,416.3800048828125,429.45001220703125,-3.0434292589839096
GS,2022-04-06,285.9486999511719,290.56890869140625,-1.590056128524464
USB,2022-04-11,43.397804260253906,43.82082748413086,-0.9653474116392391
CRM,2022-04-14,187.13624572753906,188.252685546875,-0.5930538606090385
TFC,2022-04-22,41.435523986816406,41.520450592041016,-0.2045416271105882
PNC,2022-04-22,149.41629028320312,149.5174560546875,-0.06766151200925385
GE,2022-04-26,49.20851135253906,52.133304595947266,-5.610220311327763
DD,2022-04-26,25.56154441833496,25.802793502807617,-0.934972736368278
FDX,2022-04-26,183.5553436279297,184.55572509765625,-0.5420484621635135
BA,2022-04-26,167.0399932861328,169.1699981689453,-1.259091390830025
CSCO,2022-04-27,44.119361877441406,44.190696716308594,-0.1614250151454666
BAC,2022-04-27,32.71963882446289,32.84401321411133,-0.3786820716385586
VZ,2022-04-27,37.80171203613281,37.89990997314453,-0.25909807458989187
AMZN,2022-04-29,124.28150177001953,136.01449584960938,-8.62628207846534
INTC,2022-04-29,40.736228942871094,41.49319839477539,-1.8243217712510917
NKE,2022-05-06,106.95341491699219,109.8306655883789,-2.619715227958297
HD,2022-05-06,265.8331298828125,269.2026672363281,-1.2516730937727205
ORCL,2022-05-09,68.0945816040039,68.71099853515625,-0.897115373511781
NOW,2022-05-09,85.17400360107422,90.87999725341797,-6.2786023600249985
MS,2022-05-10,70.75912475585938,71.05006408691406,-0.4094849664016964
WMT,2022-05-17,41.784088134765625,42.16066360473633,-0.8931915149656189
GOOGL,2022-05-18,110.98223114013672,111.5887222290039,-0.5435057206072624
TGT,2022-05-18,142.3542938232422,166.5869140625,-14.54653288683061
UPS,2022-05-18,143.39901733398438,145.50746154785156,-1.4490282432518486
MDT,2022-06-01,86.52092742919922,86.99262237548828,-0.542224079937581
WFC,2022-06-10,36.389991760253906,37.225242614746094,-2.2437754486556827
TXN,2022-06-10,141.06881713867188,144.28106689453125,-2.226383422994449
MMM,2022-06-10,100.27595520019531,101.6598892211914,-1.361337329401302
NVDA,2022-06-13,15.621867179870605,16.124645233154297,-3.1180720320588273
AXP,2022-06-13,139.5645751953125,142.3986358642578,-1.9902302095413993
MSFT,2022-06-13,234.90225219726562,244.88941955566406,-4.07823554668858
