ticker,trans_date,filing_date,lag_days,n_insiders,accept_time,trigger_class,r_trans_5d,r_filing_5d,r_filing_plus1_5d
AAOI,2024-03-18,2024-03-19,1,3,2024-03-19 16:20:18,after_close_same_day,10.362988920470476,5.575341588767958,-4.041355513917646
AAOI,2025-08-14,2025-08-15,1,4,2025-08-15 17:18:09,after_close_same_day,14.260894823903278,10.55219918113997,-6.721331486257783
AAP,2025-03-11,2025-03-12,1,3,2025-03-12 20:05:04,after_close_same_day,2.368464780764202,-3.2342417324705686,-3.8625544296758614
ABR,2025-06-03,2025-06-03,0,5,2025-06-03 16:17:42,after_close_same_day,6.2347448095115805,6.2347448095115805,7.7844761198043155
ABR,2025-11-17,2025-11-18,1,3,2025-11-18 16:13:21,after_close_same_day,2.4493971388080205,2.1915179414575965,0.7450088285063732
ADC,2024-02-29,2024-03-01,1,3,2024-03-01 11:30:06,intraday_same_day,2.7518362035838226,2.112112157839398,1.841005185954876
AEBI,2025-08-26,2025-08-26,0,5,2025-08-26 15:26:30,intraday_same_day,-3.992286674427995,-3.992286674427995,-4.244884766983477
AEBI,2025-11-25,2025-11-26,1,4,2025-11-26 08:24:20,pre_open_same_day,0.8968402298021254,3.7236904681908802,5.624814378481898
AIN,2024-11-05,2024-11-05,0,4,2024-11-05 13:18:37,intraday_same_day,7.248086980050163,7.248086980050163,1.4304683186932514
AIRJ,2025-12-12,2025-12-12,0,4,2025-12-12 18:34:31,after_close_same_day,-0.7168470890126141,-0.7168470890126141,13.221465091112513
AMCR,2025-02-19,2025-02-20,1,3,2025-02-20 16:19:13,after_close_same_day,3.1642754795465247,2.1897580600093844,0.9317676432141224
AMRC,2025-03-10,2025-03-11,1,4,2025-03-11 18:20:09,after_close_same_day,10.626838329916396,15.749267166734647,20.6810974356547
AMST,2025-01-07,2025-01-08,1,3,2025-01-08 17:50:51,after_close_same_day,14.652122451621423,18.15378474268245,-2.192201552368643
ANGO,2025-10-21,2025-10-22,1,3,2025-10-22 07:00:16,pre_open_same_day,2.6935171796218715,-3.0982581292545004,-0.03464972132457511
ANIX,2025-01-28,2025-01-29,1,4,2025-01-29 10:06:40,intraday_same_day,6.5247014234557765,-0.40044991968365695,8.291851617673107
ANTX,2024-11-27,2024-11-27,0,3,2024-11-27 19:07:58,after_close_same_day,4.5318819619937445,4.5318819619937445,-14.645409943966241
AP,2025-12-01,2025-12-02,1,4,2025-12-02 09:28:00,pre_open_same_day,34.586723819360074,22.771151759732778,24.27942018634871
APPS,2024-11-20,2024-11-21,1,3,2024-11-21 16:07:43,after_close_same_day,-1.4106690924838596,-3.536599781470456,-5.968786353309194
APRE,2024-10-23,2024-10-24,1,4,2024-10-24 12:30:13,intraday_same_day,2.4710186435284287,2.08640596192801,-2.5399831122738368
ASPS,2025-04-09,2025-04-09,0,3,2025-04-09 16:51:05,after_close_same_day,1.832109187048347,1.832109187048347,3.4486130109481286
AVBC,2025-09-03,2025-09-03,0,3,2025-09-03 13:59:27,intraday_same_day,0.8048602726637413,0.8048602726637413,0.3081529221722843
AVBC,2025-11-13,2025-11-13,0,3,2025-11-13 16:12:37,after_close_same_day,2.043868105688148,2.043868105688148,2.0507360022276244
AZO,2025-12-22,2025-12-22,0,3,2025-12-22 17:20:30,after_close_same_day,-0.7565474780595836,-0.7565474780595836,-1.2039754394723747
AZTA,2024-11-19,2024-11-19,0,4,2024-11-19 21:10:16,after_close_same_day,10.101942765121697,10.101942765121697,4.098847145823218
BFS,2025-11-20,2025-11-20,0,3,2025-11-20 14:13:38,intraday_same_day,-2.828887928080536,-2.828887928080536,-3.7723735195382098
BGS,2024-05-13,2024-05-14,1,3,2024-05-14 21:09:42,after_close_same_day,11.662360903925467,10.754874822566933,5.515428162433275
BH,2025-12-17,2025-12-17,0,3,2025-12-17 19:04:55,after_close_same_day,8.52307166131826,8.52307166131826,2.0749326244866744
BHVN,2024-10-02,2024-10-03,1,3,2024-10-03 07:01:22,pre_open_same_day,5.379181096880081,8.82588487468384,11.655174553859087
BHVN,2025-11-17,2025-11-18,1,4,2025-11-18 07:29:10,pre_open_same_day,16.58988848156482,-2.6866317247731044,-2.361662890879057
BLMN,2025-03-05,2025-03-06,1,3,2025-03-06 22:20:54,after_close_same_day,12.593762829221564,1.073661758158035,1.1319024042009729
BNL,2024-02-27,2024-02-27,0,4,2024-02-27 16:10:50,after_close_same_day,-1.658979501835069,-1.658979501835069,-0.41761035890328513
BOW,2024-05-28,2024-05-29,1,4,2024-05-29 18:00:53,after_close_same_day,-4.452529502893026,-5.16643689294151,-5.060136656545751
BRT,2024-04-16,2024-04-17,1,3,2024-04-17 16:20:14,after_close_same_day,6.237707130148004,5.808725669433693,3.95853967379535
BRT,2025-06-18,2025-06-18,0,3,2025-06-18 16:25:23,after_close_same_day,-2.4256580767675455,-2.4256580767675455,-2.0315896544389482
BRT,2025-08-12,2025-08-13,1,3,2025-08-13 16:25:09,after_close_same_day,1.3090365469438352,1.3121062701858652,3.29112983994722
BRT,2025-10-20,2025-10-21,1,3,2025-10-21 16:25:08,after_close_same_day,-2.477638668637005,-3.1535087759682177,-6.795036042925977
BXMT,2024-08-08,2024-08-08,0,3,2024-08-08 21:15:29,after_close_same_day,-3.59787222229411,-3.59787222229411,-3.3715311884401595
CALC,2024-08-27,2024-08-27,0,3,2024-08-27 23:44:47,after_close_same_day,21.36682200156846,21.36682200156846,21.88362464933168
CATX,2024-06-03,2024-06-04,1,3,2024-06-04 16:02:03,after_close_same_day,-6.598692743828303,-10.315642956947187,-6.9249782139744
CATX,2024-06-17,2024-06-18,1,3,2024-06-18 07:48:58,pre_open_same_day,-7.546605045059561,-20.06253947726299,-7.531002217729967
CATX,2025-03-31,2025-04-01,1,4,2025-04-01 18:44:41,after_close_same_day,-5.659033532294982,-1.2589490359097617,-4.500510857714809
CEPV,2025-11-05,2025-11-05,0,4,2025-11-05 19:53:13,after_close_same_day,-1.436260696687197,-1.436260696687197,-0.838356669152226
CHCT,2024-08-13,2024-08-14,1,4,2024-08-14 16:16:03,after_close_same_day,0.705173695932868,1.8337036098664,2.7601751624024127
CHD,2025-08-12,2025-08-12,0,3,2025-08-12 12:17:16,intraday_same_day,2.7360450098594473,2.7360450098594473,2.6772696310728596
CLAR,2025-08-14,2025-08-15,1,3,2025-08-15 16:15:12,after_close_same_day,4.70229940162443,9.738858176859457,8.151951240419471
CLF,2024-06-13,2024-06-13,0,4,2024-06-13 18:16:53,after_close_same_day,-1.107344515908999,-1.107344515908999,-1.4553809059081204
CMTG,2025-03-13,2025-03-14,1,3,2025-03-14 22:02:28,after_close_same_day,12.406856993236767,2.9994353636128777,-1.770895136582202
COO,2025-09-05,2025-09-05,0,4,2025-09-05 21:10:48,after_close_same_day,-3.6420625093839756,-3.6420625093839756,-6.67354502792911
COO,2025-12-22,2025-12-23,1,5,2025-12-23 21:08:36,after_close_same_day,-1.9523877094823339,-0.23207698291597734,-0.7238423710041371
COTY,2025-09-03,2025-09-03,0,4,2025-09-04 01:49:51,unknown,-8.475098095902919,-8.475098095902919,-7.018776314899235
CPSH,2025-10-08,2025-10-09,1,5,2025-10-09 15:30:59,intraday_same_day,25.47338462197897,2.0699400745367416,-19.15186063650192
CRDF,2024-12-18,2024-12-18,0,3,2024-12-18 16:37:28,after_close_same_day,-6.254699133374511,-6.254699133374511,-5.648079719004175
CRVO,2025-11-18,2025-11-19,1,4,2025-11-19 12:46:15,intraday_same_day,13.760743401481596,12.74014758265547,5.592578554093685
CTEV,2025-05-19,2025-05-20,1,4,2025-05-20 16:24:37,after_close_same_day,0.3308669199270172,-6.30907900682963,23.64481662941395
CTEV,2025-11-20,2025-11-20,0,4,2025-11-20 17:57:08,after_close_same_day,14.815272031496821,14.815272031496821,-3.90203589775338
CTO,2025-09-16,2025-09-16,0,5,2025-09-16 17:30:04,after_close_same_day,-2.4764536557531094,-2.4764536557531094,-1.424547963528992
CVBF,2024-02-06,2024-02-06,0,3,2024-02-06 22:39:43,after_close_same_day,0.7026415964516024,0.7026415964516024,-0.6774536612916437
DBD,2024-11-12,2024-11-12,0,3,2024-11-12 15:41:01,intraday_same_day,4.709761612563144,4.709761612563144,8.983144166229543
DMLP,2024-12-12,2024-12-12,0,3,2024-12-12 16:40:06,after_close_same_day,0.9446605730419617,0.9446605730419617,-0.6053355462479537
DMLP,2025-12-03,2025-12-03,0,4,2025-12-03 17:38:34,after_close_same_day,2.1670427582952514,2.1670427582952514,-0.29915008327503717
ECG,2025-02-25,2025-02-26,1,3,2025-02-26 19:15:27,after_close_same_day,-7.21710483700814,-9.491325382094544,-3.5232551410600417
ECPG,2025-03-05,2025-03-06,1,3,2025-03-06 16:28:17,after_close_same_day,-1.016604027148996,-6.941064512635254,-1.8366937195694581
EGBN,2024-05-01,2024-05-02,1,4,2024-05-02 18:04:42,after_close_same_day,0.7988431299945029,-1.027155859484961,-2.3171435584876243
EGHA,2025-05-12,2025-05-12,0,5,2025-05-12 21:25:13,after_close_same_day,-2.23433460501124,-2.23433460501124,-1.2241354886495135
ENR,2025-12-02,2025-12-03,1,3,2025-12-03 17:48:16,after_close_same_day,8.885375858843133,4.0930358137372025,14.541774866414237
EQBK,2024-12-04,2024-12-05,1,4,2024-12-05 14:22:40,intraday_same_day,-0.7166432210806178,-2.462994355705075,-1.5958062944995324
ETST,2025-01-16,2025-01-16,0,3,2025-01-16 18:34:32,after_close_same_day,12.239908247355839,12.239908247355839,26.074079539008128
EVLV,2025-11-25,2025-11-25,0,4,2025-11-25 16:03:38,after_close_same_day,4.169831863457794,4.169831863457794,6.667034070364356
FCNCA,2024-02-21,2024-02-22,1,3,2024-02-22 16:53:40,after_close_same_day,1.1155785313387772,3.4543866021805467,1.2745833145567622
FDBC,2025-11-10,2025-11-10,0,3,2025-11-10 15:47:47,intraday_same_day,0.7712753581295133,0.7712753581295133,0.931536882993413
FERA,2025-03-03,2025-03-04,1,5,2025-03-04 10:25:31,intraday_same_day,4.276401410818689,3.9339530496399506,4.45275040360615
FFIN,2024-06-06,2024-06-07,1,3,2024-06-07 14:44:59,intraday_same_day,-3.0821920184282305,-4.564855618820908,-1.9971727135545176
FMC,2025-03-05,2025-03-06,1,3,2025-03-06 12:07:01,intraday_same_day,5.137374934213942,4.015474117482336,3.245095267810637
FNWD,2025-03-12,2025-03-13,1,5,2025-03-13 18:14:00,after_close_same_day,-2.2285791232741174,-4.8676704108631155,-2.241083446714382
FRPH,2025-11-13,2025-11-14,1,3,2025-11-14 17:05:34,after_close_same_day,-1.3903669698772139,-3.375469705181616,-2.260715023429268
FTAI,2025-05-05,2025-05-06,1,4,2025-05-06 16:28:58,after_close_same_day,8.662198302406033,4.055346554082781,2.8693771599639346
FTAI,2025-11-14,2025-11-14,0,3,2025-11-14 16:16:17,after_close_same_day,1.4081527528171378,1.4081527528171378,5.849210215753901
FVR,2025-08-21,2025-08-21,0,3,2025-08-21 22:35:47,after_close_same_day,-0.5235435771042418,-0.5235435771042418,-2.9350262816203787
FXNC,2024-05-15,2024-05-16,1,5,2024-05-16 15:53:52,intraday_same_day,1.3542012725928245,1.8131668439755004,1.2978496897024598
GAM,2024-04-11,2024-04-11,0,3,2024-04-11 18:08:08,after_close_same_day,0.5812067853280025,0.5812067853280025,1.2223470130337397
GAM,2024-12-30,2024-12-31,1,3,2024-12-31 16:35:25,after_close_same_day,-0.4013523019804311,-0.42499160386037926,0.9665638249692737
GAM,2025-12-08,2025-12-09,1,3,2025-12-09 17:03:18,after_close_same_day,0.28766456037608,0.6791404257608427,0.4652937096099594
GBCI,2025-11-06,2025-11-06,0,5,2025-11-06 13:10:22,intraday_same_day,2.113648504793222,2.113648504793222,-0.7534201409871725
GCBC,2025-11-05,2025-11-06,1,4,2025-11-06 10:02:52,intraday_same_day,-2.7452713164985894,-1.1972623998515228,-0.8529539852980604
GL,2024-05-28,2024-05-28,0,4,2024-05-28 11:04:39,intraday_same_day,-2.2927459942913333,-2.2927459942913333,-0.196396244569365
GLOO,2025-11-20,2025-11-20,0,5,2025-11-20 18:35:22,after_close_same_day,-6.939221178289438,-6.939221178289438,-10.907125090058605
GLRE,2025-11-20,2025-11-21,1,3,2025-11-21 16:30:05,after_close_same_day,0.11198838886310103,-0.9921504449768026,4.447431394464143
GME,2025-04-10,2025-04-10,0,3,2025-04-10 20:18:55,after_close_same_day,6.685521669304687,6.685521669304687,5.158488147505395
GREE,2025-05-23,2025-05-23,0,3,2025-05-23 16:02:44,after_close_same_day,-18.071722800098932,-18.071722800098932,-8.666967142626175
GRNT,2024-11-26,2024-11-27,1,5,2024-11-27 11:59:06,intraday_same_day,-4.1387869131545525,-4.413124626351708,-5.214040406681721
GRNT,2024-12-16,2024-12-17,1,4,2024-12-17 12:50:33,intraday_same_day,-0.4916580989858601,1.164934738850432,2.572780843997666
