ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix
MCHX,2021-01-04,3,192533.25,2021-01-04,2021-01-04,-0.05691929701869747,-0.5045137820836538,26.969999313354492
KFS,2021-01-04,6,383130.0,2021-01-04,2021-01-04,-0.05691929701869747,-0.5045137820836538,26.969999313354492
CODI,2021-01-05,7,817690.07,2020-12-08,2021-01-05,-0.22569390769142955,0.5823680255135534,25.34000015258789
DVCR,2021-01-05,5,1785085.95,2021-01-05,2021-01-05,-0.22569390769142955,0.5823680255135534,25.34000015258789
EYEG,2021-01-08,3,24022974.69,2021-01-08,2021-01-08,1.9738798746391104,3.7244580124350453,21.559999465942383
HHC,2021-01-08,3,597398566.56,2021-01-08,2021-01-08,1.9738798746391104,3.7244580124350453,21.559999465942383
AGCB,2021-01-11,3,5250000.0,2021-01-11,2021-01-11,2.6844550622357697,2.6260077922668645,24.079999923706055
ALDX,2021-01-11,3,27608004.0,2021-01-11,2021-01-11,2.6844550622357697,2.6260077922668645,24.079999923706055
GTX,2021-01-11,7,5995710.3,2020-12-21,2021-01-11,2.6844550622357697,2.6260077922668645,24.079999923706055
KAIRU,2021-01-12,3,59400000.0,2021-01-12,2021-01-12,2.003599425250217,1.773383515721457,23.329999923706055
CERC,2021-01-12,3,19500000.0,2021-01-12,2021-01-12,2.003599425250217,1.773383515721457,23.329999923706055
ESTE,2021-01-12,20,50971771.2,2021-01-11,2021-01-12,2.003599425250217,1.773383515721457,23.329999923706055
AKICU,2021-01-12,3,19800000.0,2021-01-12,2021-01-12,2.003599425250217,1.773383515721457,23.329999923706055
RILY,2021-01-13,4,5593600.0,2021-01-13,2021-01-13,1.6704571901356762,2.2425085568081693,22.209999084472656
OMEG,2021-01-13,6,30060000.0,2021-01-13,2021-01-13,1.6704571901356762,2.2425085568081693,22.209999084472656
BCYP,2021-01-14,3,12516000.0,2021-01-14,2021-01-14,-0.16880276545642206,1.739300018259535,23.25
MCADU,2021-01-14,3,4050000.0,2021-01-14,2021-01-14,-0.16880276545642206,1.739300018259535,23.25
CGEM,2021-01-14,15,69352500.0,2021-01-14,2021-01-14,-0.16880276545642206,1.739300018259535,23.25
AFRM,2021-01-15,7,25687907.0,2021-01-15,2021-01-15,-1.4583230870875292,0.48677124162834484,24.34000015258789
PRKA,2021-01-15,4,13444622.08,2021-01-15,2021-01-15,-1.4583230870875292,0.48677124162834484,24.34000015258789
DXLG,2021-01-19,5,320442.2,2021-01-19,2021-01-19,-0.01055239584832909,2.6736193920629026,23.239999771118164
BRN,2021-01-20,3,1124465.4,2021-01-20,2021-01-20,1.3517629208610218,3.382446260224356,21.579999923706055
CMCT,2021-01-21,4,9674000.0,2021-01-21,2021-01-21,1.1717040552818307,2.8617340600560737,21.31999969482422
OCX,2021-01-22,3,14982472.8,2021-01-22,2021-01-22,1.1678873971912875,0.9971132055109897,21.90999984741211
MRUS,2021-01-25,10,209058300.0,2021-01-25,2021-01-25,2.3130325114528656,0.8209779372389786,23.190000534057617
HBB,2021-01-26,20,2348303.57,2021-01-26,2021-01-26,1.3574375836532284,1.3467419456176783,23.020000457763672
HY,2021-01-26,20,12920622.0,2021-01-26,2021-01-26,1.3574375836532284,1.3467419456176783,23.020000457763672
UONE,2021-01-26,3,8847423.3,2021-01-26,2021-01-26,1.3574375836532284,1.3467419456176783,23.020000457763672
ONCS,2021-01-27,3,66496054.95,2021-01-27,2021-01-27,-2.469474845920407,-1.151093370366527,37.209999084472656
FRG,2021-01-27,3,79371450.0,2021-01-27,2021-01-27,-2.469474845920407,-1.151093370366527,37.209999084472656
GRBK,2021-01-27,5,87337500.0,2021-01-27,2021-01-27,-2.469474845920407,-1.151093370366527,37.209999084472656
ATHA,2021-01-27,3,20999992.5,2021-01-27,2021-01-27,-2.469474845920407,-1.151093370366527,37.209999084472656
DFH,2021-01-27,6,4056000.0,2021-01-27,2021-01-27,-2.469474845920407,-1.151093370366527,37.209999084472656
PDO,2021-01-28,10,10400000.0,2021-01-28,2021-01-28,-1.7202788695098215,-0.568731391504194,30.209999084472656
LMACA,2021-01-28,7,12202510.0,2021-01-28,2021-01-28,-1.7202788695098215,-0.568731391504194,30.209999084472656
VYNE,2021-02-01,3,29999997.99,2021-02-01,2021-02-01,-2.122856364594937,0.14107378897340112,30.239999771118164
BLUA,2021-02-02,3,21750000.0,2021-02-02,2021-02-02,-0.5836623901031248,0.765852340905195,25.559999465942383
TRIN,2021-02-02,6,809200.0,2021-02-02,2021-02-02,-0.5836623901031248,0.765852340905195,25.559999465942383
BKSC,2021-02-02,4,232765.21,2021-02-02,2021-02-02,-0.5836623901031248,0.765852340905195,25.559999465942383
SRGA,2021-02-02,5,5462305.5,2021-02-02,2021-02-02,-0.5836623901031248,0.765852340905195,25.559999465942383
CFV,2021-02-04,4,24000000.0,2021-02-04,2021-02-04,2.266773754238883,0.5075000548152955,21.770000457763672
DCOM,2021-02-04,10,63414882.24,2021-02-04,2021-02-04,2.266773754238883,0.5075000548152955,21.770000457763672
EVLO,2021-02-04,8,15600000.0,2021-02-04,2021-02-04,2.266773754238883,0.5075000548152955,21.770000457763672
ONTF,2021-02-05,6,1500000.0,2021-02-05,2021-02-05,4.7666616351880355,1.2614970905915857,20.8700008392334
LABP,2021-02-08,8,140000000.0,2021-02-08,2021-02-08,3.795549244099224,1.5921188208045909,21.239999771118164
PCPL,2021-02-08,3,19010205.0,2021-02-08,2021-02-08,3.795549244099224,1.5921188208045909,21.239999771118164
PACE,2021-02-09,3,19503941.28,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000057,21.6299991607666
TERN,2021-02-09,14,125970000.0,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000057,21.6299991607666
NICK,2021-02-09,3,380593.53,2021-02-09,2021-02-09,2.280189371688807,1.6832183738000057,21.6299991607666
