ticker,cluster_date,n_insiders,total_value,window_start,window_end,has_ceo,has_cfo,has_c_suite,titles_in_cluster,roles_in_cluster
ZMTP,2019-05-06,3,544999.4,2019-05-06,2019-05-06,True,True,True,President and COO|CEO and Acting CFO,"Director|Director,Officer|Officer"
AVTR,2019-05-17,3,15626613.54,2019-05-17,2019-05-17,False,False,False,,Director|TenPercentOwner
PROS,2019-07-25,4,640000.0,2019-07-25,2019-07-25,False,False,False,,Director|TenPercentOwner
AAACX,2019-10-01,3,3898376.67,2019-10-01,2019-10-01,False,False,False,President & Secretary|Treasurer,"Director,Officer,TenPercentOwner|Officer|TenPercentOwnerOther"
SPT,2019-12-13,4,10157527.28,2019-12-13,2019-12-13,False,False,False,,Director|TenPercentOwner
NONE,2019-12-30,3,37292682.0,2019-12-30,2019-12-30,True,False,True,CEO and President,"Director,Officer|TenPercentOwner"
TCFC,2019-12-31,3,324928.53,2019-12-31,2019-12-31,False,False,False,,Director
CODI,2020-01-03,6,618063.96,2020-01-03,2020-01-03,False,False,False,,Other
APTX,2020-01-10,5,4115001.0,2020-01-10,2020-01-10,True,False,True,CEO and President,"Director|Director,Officer|TenPercentOwner"
OSMT,2020-01-13,5,31250000.0,2020-01-13,2020-01-13,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
YCBD,2020-01-14,3,375000.0,2020-01-14,2020-01-14,True,False,True,CO-CEO|CO-CEO,"Director|Director,Officer|Director,Officer,TenPercentOwner"
TRN,2020-01-16,3,10181609.96,2020-01-13,2020-01-16,False,False,False,,"Director,TenPercentOwnerOther|TenPercentOwnerOther"
VCNX,2020-01-23,3,5699990.69,2020-01-23,2020-01-23,True,False,True,President and CEO,"Director|Director,Officer,TenPercentOwner|TenPercentOwner"
ADAP,2020-01-24,6,30150000.0,2020-01-24,2020-01-24,False,False,False,,"Director|Director,TenPercentOwner|TenPercentOwner"
BRPM,2020-01-24,3,9456704.86,2020-01-09,2020-01-24,False,False,False,,Director|TenPercentOwner
IFF,2020-01-27,3,42885173.42,2019-12-30,2020-01-27,False,False,False,,TenPercentOwner
DFS,2020-01-27,4,1833807.68,2020-01-27,2020-01-27,True,True,True,"EVP, Pres. - Consumer Banking|EVP & Chief Financial Officer|EVP, Chief Legal Officer & GC|CEO and President","Director,Officer|Officer"
ANVS,2020-01-31,3,688248.4,2020-01-31,2020-01-31,False,True,True,Chief Financial Officer,"Director|Director,TenPercentOwner|Officer"
BDTX,2020-02-03,6,75856968.0,2020-02-03,2020-02-03,False,False,False,See Remarks,Director|Officer|TenPercentOwner|TenPercentOwnerOther
WETF,2020-02-03,4,1042719.41,2020-02-03,2020-02-03,True,False,True,Chief Administrative Officer|Chief Executive Officer|Global Head of Research|President,"Director,Officer|Officer"
SMPL,2020-02-03,3,841369.25,2020-01-14,2020-02-03,False,True,True,Chief Financial Officer,Director|Officer
KZR,2020-02-04,4,10394196.8,2020-02-04,2020-02-04,True,False,True,CEO|President and CSO,"Director|Director,Officer|TenPercentOwner"
CSFL,2020-02-04,3,347850.0,2020-01-31,2020-02-04,True,True,True,President and CEO|Chief Financial Officer,"Director|Director,Officer|Officer"
ARQT,2020-02-04,5,41002181.0,2020-02-03,2020-02-04,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
UFI,2020-02-05,3,1941023.0,2020-01-31,2020-02-05,True,True,True,EVP & CFO|Executive Chairman,"Director|Director,Officer|Officer"
EPD,2020-02-05,3,7751500.0,2020-02-03,2020-02-05,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
DCOM,2020-02-05,6,1125000.0,2020-02-05,2020-02-05,True,True,True,PRESIDENT AND CEO|SEVP - Chief Banking Officer|EVP - CHIEF FINANCIAL OFFICER|Senior EVP and COO,"Director|Director,Officer|Officer"
MCHX,2020-02-06,3,961074.98,2020-01-08,2020-02-06,False,False,False,,TenPercentOwner
NGM,2020-02-06,4,2866416.0,2020-02-06,2020-02-06,False,False,False,,"Director,TenPercentOwner|TenPercentOwner|TenPercentOwnerOther"
CSPR,2020-02-10,3,30199992.0,2020-02-10,2020-02-10,False,False,False,,"Director|Director,TenPercentOwner|TenPercentOwner"
PPD,2020-02-10,5,3307500.0,2020-01-17,2020-02-10,True,False,True,Chief Executive Officer|Chief Operating Officer|See Remarks,"Director|Director,Officer|Officer"
NREF,2020-02-11,5,4350990.0,2020-02-10,2020-02-11,False,False,False,See Remarks|See Remarks|See Remarks|President,"Director|Director,Officer|Officer"
UHAL,2020-02-11,3,3130380.0,2020-02-11,2020-02-11,False,False,False,"Chairman, President","Director,Officer,TenPercentOwner|TenPercentOwner"
ADMA,2020-02-11,4,16502948.0,2020-02-11,2020-02-11,True,False,True,President and CEO,"Director|Director,Officer|TenPercentOwner"
ONEW,2020-02-11,4,5846304.0,2020-02-11,2020-02-11,True,False,True,Chief Executive Officer,"Director|Director,Officer,TenPercentOwner"
MAC,2020-02-12,3,898914.56,2020-02-12,2020-02-12,False,False,False,President,"Director|Director,Officer"
LEVL,2020-02-19,3,274320.0,2020-02-03,2020-02-19,False,True,True,EVP and CFO,Director|Officer
