ticker,cluster_date,n_insiders,total_value,window_start,window_end
CODI,2018-01-03,6,504511.36,2018-01-03,2018-01-03
CRSP,2018-01-05,3,25499974.5,2018-01-05,2018-01-05
MLNT,2018-01-05,3,234000009.0,2018-01-05,2018-01-05
SKY,2018-01-05,3,2495133.24,2018-01-05,2018-01-05
CYH,2018-01-08,5,9526130.0,2018-01-08,2018-01-08
NXRT,2018-01-08,4,1557688.24,2018-01-08,2018-01-08
ASPS,2018-01-09,6,59517010.62,2018-01-09,2018-01-09
KALA,2018-01-10,3,9578129.82,2018-01-10,2018-01-10
CHN,2018-01-10,4,1299165.7,2017-12-29,2018-01-10
PCF,2018-01-12,4,382620.0,2018-01-12,2018-01-12
CORI,2018-01-16,3,19186069.5,2018-01-16,2018-01-16
NONE,2018-01-17,7,417573130443151.7,2018-01-16,2018-01-17
BGFLX,2018-01-18,5,3175000.0,2018-01-18,2018-01-18
BGNE,2018-01-18,6,1199999988.0,2018-01-18,2018-01-18
ECR,2018-01-18,7,646027019.68,2018-01-18,2018-01-18
COLD,2018-01-19,16,34800000.0,2018-01-19,2018-01-19
VICL,2018-01-22,3,193050.0,2018-01-22,2018-01-22
AGIO,2018-01-23,4,228109272.0,2018-01-23,2018-01-23
CPAH,2018-01-24,3,1503750.0,2018-01-24,2018-01-24
SSBP,2018-01-24,7,1141130.0,2018-01-24,2018-01-24
MNLO,2018-01-25,6,26205024.0,2018-01-25,2018-01-25
ALBO,2018-01-25,3,27225000.0,2018-01-25,2018-01-25
LPG,2018-01-26,3,40502100.0,2018-01-26,2018-01-26
EYEN,2018-01-29,6,6450000.0,2018-01-29,2018-01-29
SLDB,2018-01-30,5,70439800.0,2018-01-30,2018-01-30
IVAC,2018-01-30,4,2403798.32,2018-01-30,2018-01-30
TORC,2018-01-30,4,27499980.0,2018-01-30,2018-01-30
TPHS,2018-02-01,3,231615.75,2018-02-01,2018-02-01
SGEN,2018-02-01,6,1199999736.0,2018-02-01,2018-02-01
VICI,2018-02-01,8,2229000.0,2018-02-01,2018-02-01
MTECU,2018-02-01,6,13500000.0,2018-02-01,2018-02-01
TCPC,2018-02-02,3,258630.0,2018-01-30,2018-02-02
FTSI,2018-02-02,5,50400000.0,2018-02-02,2018-02-02
MBII,2018-02-05,7,35000001.75,2018-02-05,2018-02-05
PBH,2018-02-05,3,666579.0,2018-02-05,2018-02-05
STON,2018-02-06,11,5992380.68,2018-02-06,2018-02-06
SLGD,2018-02-06,4,802655.0,2018-02-06,2018-02-06
KKR,2018-02-06,7,218708000.0,2018-02-06,2018-02-06
FDBC,2018-02-06,7,363825.0,2018-02-06,2018-02-06
SHLX,2018-02-06,3,900000019.2,2018-02-06,2018-02-06
SNYL,2018-02-07,3,426073.41,2018-02-07,2018-02-07
SYNL,2018-02-07,3,426073.41,2018-02-07,2018-02-07
BW,2018-02-08,5,12497952.0,2018-02-08,2018-02-08
VCTR,2018-02-08,3,4574875.0,2018-02-08,2018-02-08
CTIC,2018-02-08,7,132999993.0,2018-02-08,2018-02-08
ONTX,2018-02-08,3,1527000.0,2018-02-08,2018-02-08
KNSA,2018-02-09,6,324000000.0,2018-02-09,2018-02-09
SMPL,2018-02-09,6,9175070.0,2018-02-09,2018-02-09
TNDM,2018-02-09,5,3830660.0,2018-02-09,2018-02-09
ATNX,2018-02-09,3,1142500.0,2018-02-07,2018-02-09
HK,2018-02-09,8,115243731.0,2018-02-09,2018-02-09
ASPS,2018-02-12,6,58164000.0,2018-02-12,2018-02-12
FRSH,2018-02-12,3,797706.0,2018-02-12,2018-02-12
BCO,2018-02-12,3,1133470.0,2018-02-08,2018-02-12
