ticker,cluster_date,n_insiders,total_value,window_start,window_end
ADES,2020-01-02,2,2621933.26,2020-01-02,2020-01-02
MIST,2020-01-02,2,664578.0,2020-01-02,2020-01-02
IFF,2020-01-02,3,24816630.0,2020-01-02,2020-01-02
EPD,2020-01-02,3,8624190.0,2020-01-02,2020-01-02
NONE,2020-01-02,5,74938506.99,2020-01-02,2020-01-02
PPR,2020-01-02,2,3503043.36,2020-01-02,2020-01-02
TCFC,2020-01-03,3,324928.53,2020-01-03,2020-01-03
CLUB,2020-01-03,5,32250000.0,2020-01-03,2020-01-03
KOOL,2020-01-03,5,15571588804160.0,2020-01-03,2020-01-03
FEIM,2020-01-06,3,245520.0,2020-01-06,2020-01-06
FRG,2020-01-06,3,84744000.0,2020-01-06,2020-01-06
CODI,2020-01-06,6,618063.96,2020-01-06,2020-01-06
OCX,2020-01-06,3,9016699.68,2020-01-06,2020-01-06
TRC,2020-01-06,2,309075.0,2020-01-06,2020-01-06
AKER,2020-01-07,2,878262.96,2020-01-07,2020-01-07
HT,2020-01-08,2,197246.0,2020-01-08,2020-01-08
PHD,2020-01-08,2,319341.48,2020-01-08,2020-01-08
OPK,2020-01-09,2,147000.0,2020-01-09,2020-01-09
MCHX,2020-01-09,3,440682.57,2020-01-09,2020-01-09
CRGS,2020-01-09,2,7687500000.0,2020-01-09,2020-01-09
EDSA,2020-01-10,2,823820.8,2020-01-10,2020-01-10
LQDA,2020-01-10,2,1999994.88,2020-01-10,2020-01-10
LJPC,2020-01-13,3,52291408.83,2020-01-13,2020-01-13
AMAG,2020-01-13,3,1089677.34,2020-01-13,2020-01-13
SMPL,2020-01-14,2,611569.25,2020-01-14,2020-01-14
APTX,2020-01-14,5,4115001.0,2020-01-14,2020-01-14
BRPM,2020-01-14,3,15047150.49,2020-01-14,2020-01-14
TRN,2020-01-15,8,20213101.92,2020-01-15,2020-01-15
MRUS,2020-01-15,7,8804255.32,2020-01-15,2020-01-15
BVSN,2020-01-15,2,804470.84,2020-01-15,2020-01-15
OSMT,2020-01-15,10,62500000.0,2020-01-15,2020-01-15
YCBD,2020-01-16,3,375000.0,2020-01-16,2020-01-16
RMBL,2020-01-16,2,228000.0,2020-01-16,2020-01-16
JPM,2020-01-17,2,7091294.0,2020-01-16,2020-01-17
DXLG,2020-01-17,6,1995250.0,2020-01-16,2020-01-17
BBLG,2020-01-17,4,780000.0,2020-01-17,2020-01-17
CMD,2020-01-22,2,430700.0,2020-01-21,2020-01-22
PSXP,2020-01-22,2,203868.4,2020-01-22,2020-01-22
TLRS,2020-01-23,2,670000.0,2020-01-10,2020-01-23
