ticker,cluster_date,n_insiders,total_value,window_start,window_end
IMRA,2023-01-03,4,10068752.0,2023-01-03,2023-01-03
CODI,2023-01-03,8,843690.39,2023-01-03,2023-01-03
LFHAX,2023-01-04,5,6065000.0,2023-01-04,2023-01-04
FULC,2023-01-04,4,5261144.88,2023-01-04,2023-01-04
CMRA,2023-01-04,3,1263240.75,2023-01-04,2023-01-04
ALTI,2023-01-05,3,1580770.98,2023-01-05,2023-01-05
XOMA,2023-01-05,10,3494100.0,2023-01-05,2023-01-05
SRRK,2023-01-05,8,3640491.36,2023-01-05,2023-01-05
HOWL,2023-01-06,4,16380520.0,2023-01-06,2023-01-06
GEG,2023-01-06,4,4000612.0,2023-01-06,2023-01-06
BTMD,2023-01-09,3,940050.0,2023-01-09,2023-01-09
NGM,2023-01-10,21,34021112.4,2023-01-10,2023-01-10
APPN,2023-01-11,5,43088876.6,2023-01-11,2023-01-11
KYMR,2023-01-11,10,12512101.8,2023-01-11,2023-01-11
CCO,2023-01-13,14,6880500.0,2023-01-13,2023-01-13
SNDA,2023-01-13,5,387000.0,2023-01-13,2023-01-13
ACHR,2023-01-13,4,263141.62,2023-01-12,2023-01-13
PLAY,2023-01-13,3,327708.35,2023-01-11,2023-01-13
XOS,2023-01-17,3,659922.17,2023-01-03,2023-01-17
TNYA,2023-01-17,7,3255676.41,2023-01-17,2023-01-17
ISRL,2023-01-18,3,1125000.0,2023-01-18,2023-01-18
GLT,2023-01-20,6,9270000.0,2023-01-20,2023-01-20
WLDN,2023-01-24,3,2791297.44,2023-01-24,2023-01-24
JSPR,2023-01-27,13,58299991.5,2023-01-27,2023-01-27
SODI,2023-01-27,4,928928.0,2023-01-27,2023-01-27
TFIN,2023-01-30,5,3599370.93,2023-01-30,2023-01-30
WGS,2023-01-31,4,54999999.25,2023-01-26,2023-01-31
GREE,2023-01-31,4,3999999.36,2023-01-31,2023-01-31
RYES,2023-01-31,3,550000.0,2023-01-31,2023-01-31
ADES,2023-02-01,3,7526928.0,2023-02-01,2023-02-01
QDMI,2023-02-01,4,1960000.0,2023-02-01,2023-02-01
VERA,2023-02-06,13,84409538.2,2023-02-03,2023-02-06
NEE,2023-02-06,3,574472.64,2023-02-06,2023-02-06
ONEW,2023-02-07,8,647592.4,2023-02-06,2023-02-07
RILY,2023-02-08,3,6980786.14,2023-01-09,2023-02-08
IVFH,2023-02-08,6,540000.0,2023-02-08,2023-02-08
UTRS,2023-02-09,6,29325512.4,2023-02-09,2023-02-09
RILY,2023-02-09,3,6743761.14,2023-02-08,2023-02-09
CNC,2023-02-09,3,1487091.0,2023-02-08,2023-02-09
FRSH,2023-02-10,4,17651253.44,2023-02-10,2023-02-10
FBIO,2023-02-10,3,3269459.76,2023-02-10,2023-02-10
ASPS,2023-02-10,6,13166040.0,2023-02-10,2023-02-10
VAPO,2023-02-10,4,1174998.3,2023-02-10,2023-02-10
PET,2023-02-10,6,15720186.24,2023-02-10,2023-02-10
HRTG,2023-02-13,6,2380929.6,2023-02-13,2023-02-13
PRPL,2023-02-13,6,160928640.0,2023-02-13,2023-02-13
NSIT,2023-02-14,7,76336195.04,2023-02-14,2023-02-14
MLYS,2023-02-14,11,143100000.0,2023-02-14,2023-02-14
GLYC,2023-02-15,8,24253175.04,2023-02-15,2023-02-15
SDPI,2023-02-15,6,490643.46,2023-02-15,2023-02-15
IRON,2023-02-15,9,52500076.0,2023-02-15,2023-02-15
FIS,2023-02-15,3,407880.87,2023-02-15,2023-02-15
NUVB,2023-02-19,6,40269096.0,2023-02-19,2023-02-19
LNKB,2023-02-21,4,8700010.8,2023-02-21,2023-02-21
PI,2023-02-23,3,57904554.72,2023-02-10,2023-02-23
BFI,2023-02-24,3,1208000.0,2023-02-24,2023-02-24
RMAX,2023-02-24,3,670719.42,2023-02-24,2023-02-24
LAZY,2023-02-27,5,1935573.1,2023-02-27,2023-02-27
OMGA,2023-02-27,4,76834927.2,2023-02-27,2023-02-27
PHGE,2023-02-27,4,348000.0,2023-02-27,2023-02-27
DLHC,2023-02-28,8,443513.2,2023-02-28,2023-02-28
GEG,2023-03-01,3,198288.09,2023-03-01,2023-03-01
BECN,2023-03-01,3,12250682.6,2023-01-30,2023-03-01
KDP,2023-03-03,3,3345960.0,2023-02-27,2023-03-03
IHRT,2023-03-07,3,1143579.62,2023-03-03,2023-03-07
NICK,2023-03-07,4,280400.0,2023-02-23,2023-03-07
FPI,2023-03-07,3,255759.0,2023-02-27,2023-03-07
IOSP,2023-03-07,3,232629.32,2023-03-02,2023-03-07
TTI,2023-03-08,3,257100.0,2023-03-07,2023-03-08
PFBX,2023-03-08,5,350000.0,2023-03-08,2023-03-08
SMMT,2023-03-08,3,444927346.5,2023-03-06,2023-03-08
PACW,2023-03-09,3,840923.0,2023-03-09,2023-03-09
ZIMV,2023-03-10,3,512645.75,2023-03-06,2023-03-10
TLYS,2023-03-10,3,5422287.93,2023-03-10,2023-03-10
MYOV,2023-03-10,3,4179535200.0,2023-03-10,2023-03-10
SWX,2023-03-10,3,516752621.55,2023-03-10,2023-03-10
MIRO,2023-03-10,7,350000.0,2023-03-10,2023-03-10
HHC,2023-03-13,3,13996130.67,2023-03-13,2023-03-13
HTLD,2023-03-13,4,6739804.96,2023-03-13,2023-03-13
JNCE,2023-03-13,3,195131.97,2023-03-13,2023-03-13
AESI,2023-03-13,3,5301000.0,2023-03-13,2023-03-13
GBCI,2023-03-13,3,324741.1,2023-03-10,2023-03-13
NMFC,2023-03-13,3,2521695.0,2023-03-10,2023-03-13
FYBR,2023-03-13,42,188461015.48,2023-03-13,2023-03-13
GTLB,2023-03-13,4,75952212.0,2023-03-13,2023-03-13
CFR,2023-03-13,4,1928005.0,2023-03-13,2023-03-13
VLY,2023-03-14,4,2376310.74,2023-03-14,2023-03-14
FFIN,2023-03-14,3,521673.7,2023-03-08,2023-03-14
DVN,2023-03-14,3,2374420.9,2023-02-17,2023-03-14
CUBI,2023-03-14,3,660150.0,2023-03-13,2023-03-14
SCHW,2023-03-14,6,5071482.56,2023-03-14,2023-03-14
AMAM,2023-03-14,4,40850000.0,2023-03-14,2023-03-14
PFMT,2023-03-15,5,3992420.6,2023-03-15,2023-03-15
HASI,2023-03-16,3,386440.0,2023-03-16,2023-03-16
PET,2023-03-16,6,7985934.48,2023-03-16,2023-03-16
NDLS,2023-03-17,5,2320000.0,2023-03-17,2023-03-17
WEST,2023-03-17,3,867695.12,2023-03-17,2023-03-17
BNL,2023-03-17,4,436469.54,2023-02-27,2023-03-17
MODV,2023-03-17,6,12652644.78,2023-03-17,2023-03-17
CODI,2023-03-20,4,366012.96,2023-03-20,2023-03-20
CBU,2023-03-20,3,324160.0,2023-03-14,2023-03-20
PDM,2023-03-20,3,625390.0,2023-03-15,2023-03-20
VTS,2023-03-20,4,928894.28,2023-03-15,2023-03-20
MACK,2023-03-21,4,7399987.2,2023-03-21,2023-03-21
BRT,2023-03-21,3,271496.55,2023-03-21,2023-03-21
PLBY,2023-03-21,5,56304071.68,2023-03-21,2023-03-21
CTM,2023-03-21,6,1019874199.0,2023-03-03,2023-03-21
CRK,2023-03-23,3,450400.0,2023-03-15,2023-03-23
DICE,2023-03-23,5,67286862.2,2023-03-23,2023-03-23
ELUT,2023-03-23,3,447000.0,2023-03-23,2023-03-23
AZYO,2023-03-23,3,447000.0,2023-03-23,2023-03-23
HLGN,2023-03-23,3,922143.06,2023-03-23,2023-03-23
MONIX,2023-03-24,5,30000000.26,2023-03-24,2023-03-24
ETNB,2023-03-24,5,199999962.5,2023-03-24,2023-03-24
UEC,2023-03-24,3,367185.0,2023-03-24,2023-03-24
TRSSF,2023-03-27,5,318818.0,2023-03-27,2023-03-27
CQP,2023-03-27,14,48863033.38,2023-03-27,2023-03-27
ACDC,2023-03-28,3,33035964.75,2023-03-28,2023-03-28
LSAK,2023-03-28,3,818866.05,2023-03-28,2023-03-28
UTI,2023-03-28,5,4961943.5,2023-03-28,2023-03-28
ATAI,2023-03-29,3,3309344.08,2023-03-29,2023-03-29
BMEA,2023-03-30,4,48000000.0,2023-03-30,2023-03-30
SUP,2023-03-30,3,805176.42,2023-03-30,2023-03-30
AREN,2023-03-31,6,19025009.64,2023-03-06,2023-03-31
NNBR,2023-03-31,5,2530023.1,2023-03-31,2023-03-31
CWEN,2023-03-31,11,24663947.0,2023-03-31,2023-03-31
DOMO,2023-03-31,3,13123740.2,2023-03-08,2023-03-31
FOA,2023-03-31,32,480000034.56,2023-03-31,2023-03-31
SPG,2023-03-31,3,190999.51,2023-03-31,2023-03-31
OCX,2023-04-03,3,24144874.2,2023-04-03,2023-04-03
APPN,2023-04-03,6,1686374.1,2023-04-03,2023-04-03
CSSE,2023-04-03,3,12834103.5,2023-04-03,2023-04-03
BRN,2023-04-03,3,1650325.95,2023-04-03,2023-04-03
CEMI,2023-04-04,3,999743.16,2023-04-04,2023-04-04
ALTG,2023-04-04,5,3171300.0,2023-03-14,2023-04-04
SFBC,2023-04-05,6,555000.0,2023-04-05,2023-04-05
PRDS,2023-04-05,5,6965568.0,2023-04-05,2023-04-05
NOGN,2023-04-06,5,4985481.0,2023-04-06,2023-04-06
PIII,2023-04-06,5,27960808.0,2023-04-06,2023-04-06
BTTX,2023-04-10,5,8953938.74,2023-04-10,2023-04-10
DOMO,2023-04-12,3,12201940.2,2023-03-31,2023-04-12
FSNB,2023-04-19,5,1863680.0,2023-04-19,2023-04-19
REPX,2023-04-19,3,394110.0,2023-04-19,2023-04-19
SFBS,2023-04-21,3,300429.4,2023-04-20,2023-04-21
NDLS,2023-04-24,5,2497956.75,2023-04-24,2023-04-24
TMQ,2023-04-25,6,7199999.4,2023-04-25,2023-04-25
KNTE,2023-04-28,8,29391206.64,2023-04-28,2023-04-28
FBSPX,2023-04-28,3,75000000.16,2023-04-28,2023-04-28
