ticker,cluster_date,n_insiders,total_value,window_start,window_end,year,sector
SRRK,2023-01-05,8,3640491.36,2023-01-05,2023-01-05,2023,Healthcare
APPN,2023-01-11,5,43088876.6,2023-01-11,2023-01-11,2023,Technology
KYMR,2023-01-11,10,12512101.8,2023-01-11,2023-01-11,2023,Healthcare
SNDA,2023-01-13,5,387000.0,2023-01-13,2023-01-13,2023,Healthcare
CCO,2023-01-13,14,6880500.0,2023-01-13,2023-01-13,2023,Communication Services
WLDN,2023-01-24,3,2791297.44,2023-01-24,2023-01-24,2023,Industrials
TFIN,2023-01-30,5,3599370.93,2023-01-30,2023-01-30,2023,Financial Services
WGS,2023-01-31,4,54999999.25,2023-01-26,2023-01-31,2023,Healthcare
NEE,2023-02-06,3,574472.64,2023-02-06,2023-02-06,2023,Utilities
VERA,2023-02-06,13,84409538.2,2023-02-03,2023-02-06,2023,Healthcare
FRSH,2023-02-10,4,17651253.44,2023-02-10,2023-02-10,2023,Technology
HRTG,2023-02-13,6,2380929.6,2023-02-13,2023-02-13,2023,Financial Services
MLYS,2023-02-14,11,143100000.0,2023-02-14,2023-02-14,2023,Healthcare
NSIT,2023-02-14,7,76336195.04,2023-02-14,2023-02-14,2023,Technology
FIS,2023-02-15,3,407880.87,2023-02-15,2023-02-15,2023,Technology
IRON,2023-02-15,9,52500076.0,2023-02-15,2023-02-15,2023,Healthcare
NUVB,2023-02-19,6,40269096.0,2023-02-19,2023-02-19,2023,Healthcare
TTI,2023-03-08,3,257100.0,2023-03-07,2023-03-08,2023,Industrials
SWX,2023-03-10,3,516752621.55,2023-03-10,2023-03-10,2023,Utilities
GTLB,2023-03-13,4,75952212.0,2023-03-13,2023-03-13,2023,Technology
AESI,2023-03-13,3,5301000.0,2023-03-13,2023-03-13,2023,Energy
CFR,2023-03-13,4,1928005.0,2023-03-13,2023-03-13,2023,Financial Services
HTLD,2023-03-13,4,6739804.96,2023-03-13,2023-03-13,2023,Industrials
FYBR,2023-03-13,42,188461015.48,2023-03-13,2023-03-13,2023,Communication Services
VLY,2023-03-14,4,2376310.74,2023-03-14,2023-03-14,2023,Financial Services
SCHW,2023-03-14,6,5071482.56,2023-03-14,2023-03-14,2023,Financial Services
HASI,2023-03-16,3,386440.0,2023-03-16,2023-03-16,2023,Financial Services
PDM,2023-03-20,3,625390.0,2023-03-15,2023-03-20,2023,Real Estate
UEC,2023-03-24,3,367185.0,2023-03-24,2023-03-24,2023,Energy
CQP,2023-03-27,14,48863033.38,2023-03-27,2023-03-27,2023,Energy
UTI,2023-03-28,5,4961943.5,2023-03-28,2023-03-28,2023,Consumer Defensive
ACDC,2023-03-28,3,33035964.75,2023-03-28,2023-03-28,2023,Energy
ATAI,2023-03-29,3,3309344.08,2023-03-29,2023-03-29,2023,Healthcare
SPG,2023-03-31,3,190999.51,2023-03-31,2023-03-31,2023,Real Estate
CWEN,2023-03-31,11,24663947.0,2023-03-31,2023-03-31,2023,Utilities
APPN,2023-04-03,6,1686374.1,2023-04-03,2023-04-03,2023,Technology
PIII,2023-04-06,5,27960808.0,2023-04-06,2023-04-06,2023,Healthcare
REPX,2023-04-19,3,394110.0,2023-04-19,2023-04-19,2023,Energy
TMQ,2023-04-25,6,7199999.4,2023-04-25,2023-04-25,2023,Basic Materials
SRRK,2023-04-28,8,1623292.08,2023-04-28,2023-04-28,2023,Healthcare
SFNC,2023-05-01,3,443790.0,2023-04-28,2023-05-01,2023,Financial Services
GTLB,2023-05-03,4,77896465.52,2023-05-03,2023-05-03,2023,Technology
ADT,2023-05-04,4,618340.0,2023-05-04,2023-05-04,2023,Industrials
HTLD,2023-05-04,5,4631031.49,2023-05-03,2023-05-04,2023,Industrials
EWBC,2023-05-04,3,849701.2,2023-05-04,2023-05-04,2023,Financial Services
MGTX,2023-05-05,3,74999998.5,2023-05-05,2023-05-05,2023,Healthcare
BW,2023-05-12,4,2115163.68,2023-05-12,2023-05-12,2023,Industrials
RBA,2023-05-15,3,269815.6,2023-05-15,2023-05-15,2023,Industrials
PIII,2023-05-15,6,2584631.95,2023-05-12,2023-05-15,2023,Healthcare
BLFS,2023-05-16,4,6380900.4,2023-05-16,2023-05-16,2023,Healthcare
OUST,2023-05-16,3,918179.0,2023-05-16,2023-05-16,2023,Technology
ACDC,2023-05-18,4,18689076.25,2023-05-17,2023-05-18,2023,Energy
SLNO,2023-05-19,3,1218225.0,2023-05-19,2023-05-19,2023,Healthcare
SWX,2023-05-22,3,15573235.14,2023-05-22,2023-05-22,2023,Utilities
ACAD,2023-05-22,6,136238206.26,2023-05-22,2023-05-22,2023,Healthcare
