ticker,cluster_date,n_insiders,total_value,window_start,window_end,year
SRRK,2023-01-05,8,3640491.36,2023-01-05,2023-01-05,2023
APPN,2023-01-11,5,43088876.6,2023-01-11,2023-01-11,2023
KYMR,2023-01-11,10,12512101.8,2023-01-11,2023-01-11,2023
SNDA,2023-01-13,5,387000.0,2023-01-13,2023-01-13,2023
CCO,2023-01-13,14,6880500.0,2023-01-13,2023-01-13,2023
WLDN,2023-01-24,3,2791297.44,2023-01-24,2023-01-24,2023
TFIN,2023-01-30,5,3599370.93,2023-01-30,2023-01-30,2023
WGS,2023-01-31,4,54999999.25,2023-01-26,2023-01-31,2023
NEE,2023-02-06,3,574472.64,2023-02-06,2023-02-06,2023
VERA,2023-02-06,13,84409538.2,2023-02-03,2023-02-06,2023
FRSH,2023-02-10,4,17651253.44,2023-02-10,2023-02-10,2023
HRTG,2023-02-13,6,2380929.6,2023-02-13,2023-02-13,2023
MLYS,2023-02-14,11,143100000.0,2023-02-14,2023-02-14,2023
NSIT,2023-02-14,7,76336195.04,2023-02-14,2023-02-14,2023
FIS,2023-02-15,3,407880.87,2023-02-15,2023-02-15,2023
IRON,2023-02-15,9,52500076.0,2023-02-15,2023-02-15,2023
NUVB,2023-02-19,6,40269096.0,2023-02-19,2023-02-19,2023
TTI,2023-03-08,3,257100.0,2023-03-07,2023-03-08,2023
SWX,2023-03-10,3,516752621.55,2023-03-10,2023-03-10,2023
GTLB,2023-03-13,4,75952212.0,2023-03-13,2023-03-13,2023
AESI,2023-03-13,3,5301000.0,2023-03-13,2023-03-13,2023
CFR,2023-03-13,4,1928005.0,2023-03-13,2023-03-13,2023
HTLD,2023-03-13,4,6739804.96,2023-03-13,2023-03-13,2023
FYBR,2023-03-13,42,188461015.48,2023-03-13,2023-03-13,2023
VLY,2023-03-14,4,2376310.74,2023-03-14,2023-03-14,2023
SCHW,2023-03-14,6,5071482.56,2023-03-14,2023-03-14,2023
HASI,2023-03-16,3,386440.0,2023-03-16,2023-03-16,2023
PDM,2023-03-20,3,625390.0,2023-03-15,2023-03-20,2023
UEC,2023-03-24,3,367185.0,2023-03-24,2023-03-24,2023
CQP,2023-03-27,14,48863033.38,2023-03-27,2023-03-27,2023
UTI,2023-03-28,5,4961943.5,2023-03-28,2023-03-28,2023
ACDC,2023-03-28,3,33035964.75,2023-03-28,2023-03-28,2023
ATAI,2023-03-29,3,3309344.08,2023-03-29,2023-03-29,2023
SPG,2023-03-31,3,190999.51,2023-03-31,2023-03-31,2023
CWEN,2023-03-31,11,24663947.0,2023-03-31,2023-03-31,2023
APPN,2023-04-03,6,1686374.1,2023-04-03,2023-04-03,2023
PIII,2023-04-06,5,27960808.0,2023-04-06,2023-04-06,2023
REPX,2023-04-19,3,394110.0,2023-04-19,2023-04-19,2023
TMQ,2023-04-25,6,7199999.4,2023-04-25,2023-04-25,2023
SRRK,2023-04-28,8,1623292.08,2023-04-28,2023-04-28,2023
SFNC,2023-05-01,3,443790.0,2023-04-28,2023-05-01,2023
GTLB,2023-05-03,4,77896465.52,2023-05-03,2023-05-03,2023
ADT,2023-05-04,4,618340.0,2023-05-04,2023-05-04,2023
HTLD,2023-05-04,5,4631031.49,2023-05-03,2023-05-04,2023
EWBC,2023-05-04,3,849701.2,2023-05-04,2023-05-04,2023
MGTX,2023-05-05,3,74999998.5,2023-05-05,2023-05-05,2023
BW,2023-05-12,4,2115163.68,2023-05-12,2023-05-12,2023
RBA,2023-05-15,3,269815.6,2023-05-15,2023-05-15,2023
PIII,2023-05-15,6,2584631.95,2023-05-12,2023-05-15,2023
BLFS,2023-05-16,4,6380900.4,2023-05-16,2023-05-16,2023
OUST,2023-05-16,3,918179.0,2023-05-16,2023-05-16,2023
ACDC,2023-05-18,4,18689076.25,2023-05-17,2023-05-18,2023
SLNO,2023-05-19,3,1218225.0,2023-05-19,2023-05-19,2023
SWX,2023-05-22,3,15573235.14,2023-05-22,2023-05-22,2023
ACAD,2023-05-22,6,136238206.26,2023-05-22,2023-05-22,2023
ANNX,2023-05-25,4,2556000.0,2023-05-25,2023-05-25,2023
