ticker,purchase_date,prior_5d_drop,value,exec_name,exec_title,ar_5d,ar_10d,ar_20d
CWH,2020-03-12,-0.4266791493088101,633000.0,LEMONIS MARCUS,CHIEF EXECUTIVE OFFICER,-0.2284429146806659,0.04617316622330462,-0.02076188455433905
PSEC,2020-03-09,-0.14507800273295546,164359.92,Barry John F,CHIEF EXECUTIVE OFFICER,0.08617234279294333,-0.0228516525332981,-0.15006085189550838
SCHW,2022-04-25,-0.06178270587712132,2546113.5999999996,Bettinger Walter W,CEO,0.012750160223875958,-0.01689665193580034,-0.010863492395221587
XAIR,2021-08-13,-0.05212124911221591,196250.0,Lisi Steven A.,CEO and Chairman of the Board,0.20418566150922363,0.4246185172294381,0.3650429001352025
AAT,2022-05-11,-0.11357956123179515,330000.0,RADY ERNEST S,Chairman & CEO,-0.005955704014808398,-0.004919515351749972,-0.029378020679432335
RKT,2022-08-19,-0.0990740740755222,199346.0,Farner Jay,Chief Executive Officer,-0.07870412132906802,-0.16109871728738065,-0.1390707491783288
NRDY,2022-05-23,-0.18287937743190652,2627196.63,Cohn Charles K.,Chief Executive Officer,0.36490328551101414,0.5036220718026916,0.33604285537432865
GH,2021-11-23,-0.11726693908581205,2455697.7600000002,Eltoukhy Helmy,Co-Chief Executive Officer,-0.07943394538890418,-0.11453643505525768,-0.09708840193879552
JRVR,2020-05-07,-0.10569334836700839,490134.24,Abram J Adam,Chief Executive Officer,-0.06637228315836102,0.0640475594194306,0.1425027650913725
HBAN,2020-02-26,-0.09479699127674138,244125.0,STEINOUR STEPHEN D,"President, CEO & Chairman",-0.06279173762406517,-0.15541269947532502,-0.18238868717032225
AMRX,2020-03-02,-0.10360361086007354,134273.52,Patel Chintu,Co-CEO and Director,-0.12817074666661163,-0.06188844218494871,0.047466713336903985
ASAN,2022-01-10,-0.14080384386890984,6838218.04,Moskovitz Dustin A.,"President, CEO, & Chair",-0.15585217946537938,-0.19174255095909695,-0.04748563758089507
EHC,2020-03-12,-0.2522179186106776,2451068.3699999996,Anthony April Kaye Bullock,"CEO & President, Home Health",-0.06374313363207315,0.003746778172249006,0.06892935838158389
CION,2022-05-13,-0.07168456464493317,210000.0,Franz Keith S,CFO & Treasurer,0.03206458694912054,0.013959786466633137,-0.060692229708530596
RFL,2021-08-24,-0.1924296586409323,5056240.12,JONAS HOWARD S,Chief Executive Officer,-0.08533291797648919,-0.20302888742302175,-0.15923843368574317
BHF,2020-03-09,-0.36812598358804366,237100.0,Steigerwalt Eric T,President and CEO,-0.15836145049424674,-0.050806421582697936,-0.07870027960561952
NGL,2022-11-16,-0.13422821906282936,127000.0,KRIMBILL H MICHAEL,Chief Executive Officer,-0.05128968523544265,-0.13983009772105787,-0.06125380878307932
UPLD,2022-08-15,-0.051782654541995474,112200.0,MCDONALD JOHN T,CEO,-0.0303895726990948,-0.029496308360074705,-0.1061834670330253
