ticker,company_name,file_date,cik,accession_no
BTMD,biote Corp.,2023-01-06,0001819253,1819253-0001193125-23-003661
ATLX,Atlas Lithium Corp,2023-01-10,0001540684,1540684-0001493152-23-001092
SKWD,"Skyward Specialty Insurance Group, Inc.",2023-01-13,0001519449,1519449-0001104659-23-003801
MYO,"MYOMO, INC.",2023-01-13,0001369290,1369290-0001193125-23-008486
CVKD,"Cadrenal Therapeutics, Inc.",2023-01-23,0001937993,1937993-0001213900-23-004433
LGMK,"LogicMark, Inc.",2023-01-25,0001566826,1566826-0001213900-23-005030
HERE,QuantaSing Group Ltd,2023-01-25,0001932770,1932770-0001193125-23-014701
BLGO,"BIOLARGO, INC.",2023-01-26,0000880242,880242-0001437749-23-001854
GNLX,GENELUX CORP,2023-01-26,0001231457,1231457-0001193125-23-016372
TXO,"MorningStar Partners, L.P.",2023-01-27,0001559432,1559432-0001193125-23-017433
SLMT,Brera Holdings PLC,2023-01-30,0001939965,1939965-0001213900-23-006094
IDAI,T Stamp Inc,2023-02-06,0001718939,1718939-0001410578-23-000068
SATA,Asset Entities Inc.,2023-02-06,0001920406,1920406-0001213900-23-008250
TENX,"TENAX THERAPEUTICS, INC.",2023-02-06,0000034956,34956-0001654954-23-001338
SMMT,Summit Therapeutics Inc.,2023-02-07,0001599298,1599298-0001387131-23-001487
LICN,Lichen China Ltd,2023-02-07,0001876766,1876766-0001213900-23-008874
IPSI,"Innovative Payment Solutions, Inc.",2023-02-08,0001591913,1591913-0001213900-23-009293
HIND,ReShape Lifesciences Inc.,2023-02-08,0001427570,1427570-0001104659-23-012196
XPOF,"Xponential Fitness, Inc.",2023-02-09,0001802156,1802156-0001193125-23-028877
SINT,"Sintx Technologies, Inc.",2023-02-09,0001269026,1269026-0001493152-23-004093
NXT,Nextracker Inc.,2023-02-10,0001852131,1852131-0001193125-23-032878
TIVC,"Tivic Health Systems, Inc.",2023-02-10,0001787740,1787740-0001193125-23-032652
SVRN,OceanPal Inc.,2023-02-10,0001869467,1869467-0001104659-23-017893
MLYS,"Mineralys Therapeutics, Inc.",2023-02-10,0001933414,1933414-0001628280-23-003159
