ticker,company_name,file_date,cik,accession_no
MIRM,"Mirum Pharmaceuticals, Inc.",2020-01-09,1759425,1759425-0001193125-20-004784
UWMC,"Gores Holdings IV, Inc.",2020-01-24,1783398,1783398-0001193125-20-014298
DT,"Dynatrace, Inc.",2020-02-21,1773383,1773383-0001628280-20-001954
GFL,GFL Environmental Holdings Inc.,2020-03-04,1780232,1780232-0001047469-20-001194
MP,Fortress Value Acquisition Corp.,2020-05-01,1801368,1801368-0001193125-20-129430
INVH,Invitation Homes Inc.,2020-06-03,1687229,1687229-0001193125-20-159650
DT,"Dynatrace, Inc.",2020-06-03,1773383,1773383-0001628280-20-008905
WMG,Warner Music Group Corp.,2020-06-04,1319161,1319161-0001193125-20-160812
SITM,SITIME Corp,2020-06-12,1451809,1451809-0001193125-20-167752
PCVX,"Vaxcyte, Inc.",2020-06-15,1649094,1649094-0001193125-20-169580
RPRX,Royalty Pharma plc,2020-06-17,1802768,1802768-0001193125-20-171165
RKT,"Rocket Companies, Inc.",2020-08-07,1805284,1805284-0001047469-20-004448
BEKE,KE Holdings Inc.,2020-08-13,1809587,1809587-0001047469-20-004582
FROG,JFrog Ltd,2020-09-16,1800667,1800667-0001193125-20-247176
ADT,ADT Inc.,2020-09-16,1703056,1703056-0001193125-20-246506
STEP,StepStone Group Inc.,2020-09-16,1796022,1796022-0001193125-20-247268
ADT,ADT Inc.,2020-09-17,1703056,1703056-0001193125-20-248080
U,Unity Software Inc.,2020-09-18,1810806,1810806-0001193125-20-249257
BSY,BENTLEY SYSTEMS INC,2020-09-24,1031308,1031308-0001104659-20-108119
RKLB,Vector Acquisition Corp,2020-09-28,1819994,1819994-0001104659-20-109352
SOFI,Social Capital Hedosophia Holdings Corp. V,2020-10-13,1818874,1818874-0001104659-20-114514
PRAX,"Praxis Precision Medicines, Inc.",2020-10-16,1689548,1689548-0001193125-20-271080
RPRX,Royalty Pharma plc,2020-10-19,1802768,1802768-0001193125-20-272071
OWL,ALTIMAR ACQUISITION CORP.,2020-10-23,1823945,1823945-0001104659-20-117773
ALGM,"ALLEGRO MICROSYSTEMS, INC.",2020-10-30,866291,866291-0001193125-20-282664
BSY,BENTLEY SYSTEMS INC,2020-11-16,1031308,1031308-0001104659-20-125319
BEKE,KE Holdings Inc.,2020-11-19,1809587,1809587-0001047469-20-005554
DASH,DoorDash Inc,2020-12-09,1792789,1792789-0001193125-20-313884
ABNB,"Airbnb, Inc.",2020-12-11,1559720,1559720-0001193125-20-315318
VNT,Vontier Corp,2021-01-12,1786842,1786842-0001193125-21-007209
VNT,Vontier Corp,2021-01-14,1786842,1786842-0001193125-21-008527
AFRM,"Affirm Holdings, Inc.",2021-01-14,1820953,1820953-0001104659-21-004276
SMMT,Summit Therapeutics Inc.,2021-01-20,1599298,1599298-0000921895-21-000106
ALGM,"ALLEGRO MICROSYSTEMS, INC.",2021-02-08,866291,866291-0001193125-21-032354
TERN,"Terns Pharmaceuticals, Inc.",2021-02-08,1831363,1831363-0001193125-21-032311
BEPC,Brookfield Renewable Corp,2021-02-12,1791863,1791863-0001193125-21-038904
