ticker,company_name,file_date,cik,accession_no
MIRM,"Mirum Pharmaceuticals, Inc.",2020-01-09,0001759425,1759425-0001193125-20-004784
SINT,"Sintx Technologies, Inc.",2020-01-17,0001269026,1269026-0001493152-20-000751
SOGP,LIZHI INC.,2020-01-17,0001783407,1783407-0001193125-20-010134
SCPX,"HEAT BIOLOGICS, INC.",2020-01-17,0001476963,1476963-0001553350-20-000068
VEL,"Velocity Financial, LLC",2020-01-17,0001692376,1692376-0001193125-20-010192
NBP,I-Mab,2020-01-21,0001778016,1778016-0001193125-20-010505
BTOG,"China Xiangtai Food Co., Ltd.",2020-01-21,0001735556,1735556-0001104659-20-005613
BWMX,"Betterware de Mexico, S.A. de C.V.",2020-01-22,0001788257,1788257-0001213900-20-001557
UWMC,"Gores Holdings IV, Inc.",2020-01-24,0001783398,1783398-0001193125-20-014298
ADPT,Adaptive Biotechnologies Corp,2020-01-24,0001478320,1478320-0001193125-20-014285
NUWE,"CHF Solutions, Inc.",2020-01-27,0001506492,1506492-0001140361-20-001446
ADXN,Addex Therapeutics Ltd.,2020-01-28,0001574232,1574232-0001047469-20-000551
NUWE,"CHF Solutions, Inc.",2020-01-29,0001506492,1506492-0001140361-20-001618
ALEC,"Alector, Inc.",2020-01-30,0001653087,1653087-0001193125-20-019151
ANVS,"Annovis Bio, Inc.",2020-01-30,0001477845,1477845-0001047469-20-000594
BDTX,"Black Diamond Therapeutics, Inc.",2020-01-30,0001701541,1701541-0001193125-20-019694
GO,Grocery Outlet Holding Corp.,2020-01-30,0001771515,1771515-0001193125-20-019623
ARQT,"Arcutis Biotherapeutics, Inc.",2020-01-31,0001787306,1787306-0001193125-20-021681
REYN,Reynolds Consumer Products Inc.,2020-01-31,0001786431,1786431-0001193125-20-021414
BWMX,"Betterware de Mexico, S.A. de C.V.",2020-02-04,0001788257,1788257-0001213900-20-002585
LFWD,ReWalk Robotics Ltd.,2020-02-07,0001607962,1607962-0001213900-20-002955
BEAM,Beam Therapeutics Inc.,2020-02-07,0001745999,1745999-0001193125-20-026941
CLVT,Clarivate Analytics PLC,2020-02-07,0001764046,1764046-0001104659-20-012545
DCOY,"Salarius Pharmaceuticals, Inc.",2020-02-10,0001615219,1615219-0001193125-20-028933
TNXP,Tonix Pharmaceuticals Holding Corp.,2020-02-11,0001430306,1430306-0001387131-20-001265
MYO,MYOMO INC,2020-02-12,0001369290,1369290-0001193125-20-033415
CANF,Can-Fite BioPharma Ltd.,2020-02-12,0001536196,1536196-0001213900-20-003343
PDSB,PDS Biotechnology Corp,2020-02-12,0001472091,1472091-0001140361-20-002968
VISL,"Vislink Technologies, Inc.",2020-02-12,0001565228,1565228-0001493152-20-002118
AQB,"AquaBounty Technologies, Inc.",2020-02-12,0001603978,1603978-0001603978-20-000033
PHIO,Phio Pharmaceuticals Corp.,2020-02-12,0001533040,1533040-0001683168-20-000451
HUIZ,Huize Holding Ltd,2020-02-13,0001778982,1778982-0001193125-20-035458
CTEV,Churchill Capital Corp III,2020-02-14,0001793229,1793229-0001104659-20-022036
SDOT,"Muscle Maker, Inc.",2020-02-14,0001701756,1701756-0001493152-20-002253
SCNX,"TRXADE GROUP, INC.",2020-02-14,0001382574,1382574-0001493152-20-002570
DUOT,"DUOS TECHNOLOGIES GROUP, INC.",2020-02-14,0001396536,1396536-0001553350-20-000161
RSI,"dMY Technology Group, Inc.",2020-02-21,0001793659,1793659-0001193125-20-044273
DT,"Dynatrace, Inc.",2020-02-21,0001773383,1773383-0001628280-20-001954
PASG,"Passage BIO, Inc.",2020-02-28,0001787297,1787297-0001047469-20-001117
DOMH,SPHERIX INC,2020-03-04,0000012239,12239-0001213900-20-005413
GFL,GFL Environmental Holdings Inc.,2020-03-04,0001780232,1780232-0001047469-20-001194
SKLZ,Flying Eagle Acquisition Corp.,2020-03-06,0001801661,1801661-0001104659-20-030276
VINC,LifeSci Acquisition Corp.,2020-03-09,0001796129,1796129-0001104659-20-030793
LFWD,ReWalk Robotics Ltd.,2020-03-10,0001607962,1607962-0001213900-20-005895
ELVN,IMARA Inc.,2020-03-12,0001672619,1672619-0001193125-20-071536
PPBT,Kitov Pharma Ltd.,2020-03-16,0001614744,1614744-0001213900-20-006374
NUWE,"CHF Solutions, Inc.",2020-03-24,0001506492,1506492-0001140361-20-006733
EJH,E-Home Household Service Holdings Ltd,2020-03-31,0001769768,1769768-0001213900-20-008239
WIMI,WiMi Hologram Cloud Inc.,2020-04-01,0001770088,1770088-0001047469-20-001982
SPRC,Therapix Biosciences Ltd.,2020-04-02,0001611746,1611746-0001213900-20-008471
BNGO,"Bionano Genomics, Inc",2020-04-03,0001411690,1411690-0001140361-20-007878
ZNTL,"Zentalis Pharmaceuticals, LLC",2020-04-06,0001725160,1725160-0001193125-20-098801
KROS,"Keros Therapeutics, Inc.",2020-04-08,0001664710,1664710-0001193125-20-101456
IMVT,"Immunovant, Inc.",2020-04-14,0001764013,1764013-0001193125-20-107237
BLGO,"BIOLARGO, INC.",2020-04-21,0000880242,880242-0001437749-20-008126
CLOV,Social Capital Hedosophia Holdings Corp. III,2020-04-23,0001801170,1801170-0001104659-20-050329
DVLT,"Summit Wireless Technologies, Inc.",2020-04-23,0001682149,1682149-0001104659-20-049903
GO,Grocery Outlet Holding Corp.,2020-04-23,0001771515,1771515-0001193125-20-117149
NNDM,Nano Dimension Ltd.,2020-04-23,0001643303,1643303-0001213900-20-009976
SNES,"SenesTech, Inc.",2020-04-24,0001680378,1680378-0001213900-20-009998
ORIC,"Oric Pharmaceuticals, Inc.",2020-04-24,0001796280,1796280-0001193125-20-119234
BLGO,"BIOLARGO, INC.",2020-04-30,0000880242,880242-0001437749-20-008994
LYRA,"Lyra Therapeutics, Inc.",2020-05-01,0001327273,1327273-0001193125-20-131089
MP,Fortress Value Acquisition Corp.,2020-05-01,0001801368,1801368-0001193125-20-129430
DCTH,"DELCATH SYSTEMS, INC.",2020-05-04,0000872912,872912-0001193125-20-132561
PLAY,"Dave & Buster's Entertainment, Inc.",2020-05-04,0001525769,1525769-0001193125-20-131748
DCTH,"DELCATH SYSTEMS, INC.",2020-05-05,0000872912,872912-0001193125-20-133731
OLOX,"SG BLOCKS, INC.",2020-05-07,0001023994,1023994-0001213900-20-011300
MYSZ,"My Size, Inc.",2020-05-08,0001211805,1211805-0001213900-20-011373
PLSE,"Pulse Biosciences, Inc.",2020-05-14,0001625101,1625101-0001140361-20-011662
ADCT,ADC Therapeutics SA,2020-05-18,0001771910,1771910-0001140361-20-011823
EOSE,B. Riley Principal Merger Corp. II,2020-05-20,0001805077,1805077-0001213900-20-013058
