ticker,filing_date,announcement_date,announcement_drop,lag_days
MIRM,2020-01-09,2020-01-08,-7.8618246308967965,1
CLVT,2020-02-07,2020-01-31,-1.955115734014412,7
DT,2020-02-21,2020-02-21,-4.423744580286981,0
IMVT,2020-04-14,2020-04-08,-1.1529743791970581,6
PLSE,2020-05-14,2020-05-13,-10.8364855900272,1
FSLY,2020-05-21,2020-05-18,-4.185231759005847,3
INVH,2020-06-03,2020-06-02,-1.9745519088268049,1
DT,2020-06-03,2020-06-02,-5.7167885366773525,1
CLVT,2020-06-05,2020-06-02,-3.899839916039427,3
GLOB,2020-06-05,2020-06-04,-6.057763155157958,1
BILL,2020-06-11,2020-06-08,-4.429935965501208,3
SITM,2020-06-12,2020-06-11,-7.895440350740102,1
BWIN,2020-06-25,2020-06-23,-4.936967280608629,2
AHCO,2020-07-02,2020-06-26,-6.048767828046142,6
MARA,2020-07-27,2020-07-23,-7.378241128446616,4
IRTC,2020-08-19,2020-08-14,-2.9599853240944607,5
GTM,2020-08-21,2020-08-18,-3.9786685089093,3
IMVT,2020-09-03,2020-08-27,-3.633999778243724,7
ADT,2020-09-16,2020-09-16,-12.936454233119953,0
ADT,2020-09-17,2020-09-16,-12.936472979302582,1
BEAM,2020-10-01,2020-09-29,-7.49112499559873,2
ARQT,2020-10-05,2020-10-02,-14.691394872480078,3
RPRX,2020-10-19,2020-10-14,-3.8795788648403495,5
ORIC,2020-11-13,2020-11-12,-1.863915338647426,1
BSY,2020-11-16,2020-11-11,-9.15027276451099,5
BEKE,2020-11-19,2020-11-18,-8.308378888765144,1
GTM,2020-12-02,2020-12-02,-10.475317578063404,0
ARRY,2020-12-04,2020-12-01,-12.019616356329376,3
VNT,2021-01-12,2021-01-12,-2.1800634673304953,0
VNT,2021-01-14,2021-01-12,-2.1800126804756847,2
LMND,2021-01-14,2021-01-14,-9.919284598010702,0
SMMT,2021-01-20,2021-01-13,-4.7900887518667385,7
DYN,2021-01-21,2021-01-21,-25.643253248791652,0
ASO,2021-01-29,2021-01-27,-6.654359131957099,2
ALGM,2021-02-08,2021-02-03,-9.419447582196872,5
OPCH,2021-02-10,2021-02-09,-3.340219940940259,1
BEPC,2021-02-12,2021-02-09,-5.606053555766,3
GTES,2021-03-01,2021-02-24,-9.104177883144192,5
NRIX,2021-03-05,2021-03-03,-7.753656013687415,2
OPCH,2021-03-17,2021-03-16,-6.29976597584101,1
SHC,2021-03-18,2021-03-18,-6.187415282315345,0
STEP,2021-03-19,2021-03-17,-8.959663752405223,2
ARRY,2021-03-22,2021-03-17,-12.38884293353566,5
QS,2021-03-26,2021-03-24,-16.25114809630621,2
GSAT,2021-03-30,2021-03-29,-8.346461531948568,1
NTST,2021-04-08,2021-04-06,-2.058452747605033,2
UPST,2021-04-12,2021-04-07,-12.749140209287601,5
SMMT,2021-04-21,2021-04-16,-4.619960326738514,5
RCAT,2021-04-30,2021-04-30,-19.81536921822691,0
RLAY,2021-05-06,2021-05-06,-4.811706322529141,0
ASO,2021-05-07,2021-05-07,-1.3158429483203782,0
PRAX,2021-05-14,2021-05-13,-14.423675610021093,1
GLOB,2021-05-26,2021-05-21,-2.046372500636817,5
ZIM,2021-06-04,2021-06-03,-6.9901248315701325,1
CLVT,2021-06-08,2021-06-08,-2.138794942531086,0
GENI,2021-06-11,2021-06-07,-6.982205653207407,4
PECO,2021-07-16,2021-07-12,-66.74824363780029,4
SHLS,2021-07-16,2021-07-13,-14.029851262278614,3
OPCH,2021-08-05,2021-08-04,-3.970293009305992,1
DRVN,2021-08-06,2021-08-05,-6.126014555506353,1
GTES,2021-08-13,2021-08-11,-6.631469538083445,2
VRRM,2021-08-19,2021-08-18,-2.0790828456611954,1
OPCH,2021-09-09,2021-09-08,-6.090446106000957,1
MRVI,2021-09-13,2021-09-10,-10.964105022127823,3
