ticker,cluster_date,n_insiders,total_value,window_start,window_end,year
SRRK,2023-01-05,8,3640491.36,2023-01-05,2023-01-05,2023
KYMR,2023-01-11,10,12512101.8,2023-01-11,2023-01-11,2023
NEE,2023-02-06,3,574472.64,2023-02-06,2023-02-06,2023
FIS,2023-02-15,3,407880.87,2023-02-15,2023-02-15,2023
SWX,2023-03-10,3,516752621.55,2023-03-10,2023-03-10,2023
CFR,2023-03-13,4,1928005.0,2023-03-13,2023-03-13,2023
FYBR,2023-03-13,42,188461015.48,2023-03-13,2023-03-13,2023
VLY,2023-03-14,4,2376310.74,2023-03-14,2023-03-14,2023
SCHW,2023-03-14,6,5071482.56,2023-03-14,2023-03-14,2023
UEC,2023-03-24,3,367185.0,2023-03-24,2023-03-24,2023
CQP,2023-03-27,14,48863033.38,2023-03-27,2023-03-27,2023
SPG,2023-03-31,3,190999.51,2023-03-31,2023-03-31,2023
SRRK,2023-04-28,8,1623292.08,2023-04-28,2023-04-28,2023
ADT,2023-05-04,4,618340.0,2023-05-04,2023-05-04,2023
EWBC,2023-05-04,3,849701.2,2023-05-04,2023-05-04,2023
RBA,2023-05-15,3,269815.6,2023-05-15,2023-05-15,2023
SWX,2023-05-22,3,15573235.14,2023-05-22,2023-05-22,2023
GME,2023-06-09,4,20338511.16,2023-06-09,2023-06-09,2023
SYM,2023-07-23,8,4000000012.8,2023-07-23,2023-07-23,2023
ADC,2023-08-02,3,3258225.45,2023-08-02,2023-08-02,2023
ZBRA,2023-08-07,3,1508453.0,2023-08-03,2023-08-07,2023
FYBR,2023-08-22,42,151485373.82,2023-08-22,2023-08-22,2023
SWX,2023-09-08,3,23546841.09,2023-09-08,2023-09-08,2023
CART,2023-09-19,8,1380720.0,2023-09-19,2023-09-19,2023
SRRK,2023-10-12,8,120694258.8,2023-10-12,2023-10-12,2023
NTRS,2023-10-24,3,1711192.5,2023-10-23,2023-10-24,2023
TEX,2023-10-31,3,437369.3,2023-10-27,2023-10-31,2023
KYMR,2023-11-02,10,53005907.7,2023-11-02,2023-11-02,2023
MKL,2023-11-03,3,297468.72,2023-11-03,2023-11-03,2023
MDGL,2023-11-13,6,93471062.52,2023-11-13,2023-11-13,2023
TKO,2023-11-14,5,2849817.6,2023-11-14,2023-11-14,2023
WBD,2023-12-14,4,499600000.0,2023-12-14,2023-12-14,2023
DLTR,2023-12-19,3,297845630.79,2023-12-19,2023-12-19,2023
CGON,2024-01-29,6,80999983.0,2024-01-29,2024-01-29,2024
COLB,2024-01-29,3,325606.1,2024-01-29,2024-01-29,2024
EG,2024-02-09,4,947979.55,2024-02-09,2024-02-09,2024
GTES,2024-02-16,3,12948897.0,2024-02-16,2024-02-16,2024
CART,2024-02-20,26,1614313406.44,2024-02-20,2024-02-20,2024
FCNCA,2024-02-20,3,2656276.7,2024-02-20,2024-02-20,2024
RIG,2024-02-27,3,14670000.0,2024-02-27,2024-02-27,2024
ELAN,2024-03-08,3,617799.0,2024-03-06,2024-03-08,2024
BTSG,2024-03-14,3,808029.6,2024-03-14,2024-03-14,2024
AAOI,2024-03-18,3,802433.8,2024-02-27,2024-03-18,2024
ALAB,2024-03-22,3,1322892.0,2024-03-22,2024-03-22,2024
CRK,2024-03-25,4,402000000.0,2024-03-25,2024-03-25,2024
TKO,2024-04-09,7,1023685317.9,2024-04-09,2024-04-09,2024
ULS,2024-04-16,19,16453780.0,2024-04-16,2024-04-16,2024
GL,2024-04-24,3,377317.98,2024-04-24,2024-04-24,2024
HXL,2024-04-26,3,1863210.0,2024-04-25,2024-04-26,2024
LOAR,2024-04-29,3,6000036.0,2024-04-29,2024-04-29,2024
RIG,2024-05-15,3,36060000.0,2024-05-15,2024-05-15,2024
SUN,2024-05-24,3,502220.0,2024-05-23,2024-05-24,2024
NSC,2024-05-29,3,1619093.6,2024-05-29,2024-05-29,2024
CRM,2024-06-03,8,798374080.0,2024-06-03,2024-06-03,2024
RGEN,2024-06-14,3,600476.1,2024-06-14,2024-06-14,2024
SPG,2024-06-28,4,239370.98,2024-06-28,2024-06-28,2024
LINE,2024-07-26,3,1123200.0,2024-07-26,2024-07-26,2024
RIG,2024-08-02,3,31380000.0,2024-08-02,2024-08-02,2024
MGM,2024-08-05,3,7312197.0,2024-08-05,2024-08-05,2024
CRK,2024-08-05,4,84111100.32,2024-08-05,2024-08-05,2024
HR,2024-09-05,3,865680.75,2024-08-12,2024-09-05,2024
MTDR,2024-09-06,4,311175.0,2024-08-16,2024-09-06,2024
BTSG,2024-09-11,12,1551966932.88,2024-09-11,2024-09-11,2024
RIG,2024-09-12,3,18585000.0,2024-09-12,2024-09-12,2024
SPG,2024-09-30,4,248607.8,2024-09-30,2024-09-30,2024
INGM,2024-10-23,5,7036700.0,2024-10-23,2024-10-23,2024
TKO,2024-12-11,7,336858260.2,2024-12-11,2024-12-11,2024
CNC,2024-12-16,3,988603.93,2024-12-13,2024-12-16,2024
