ticker,company_name,date_str,phrase,cik
EMMA,"MYnd Analytics, Inc.  (EMMA)  (CIK 0000822370)",2019-01-07,proposed spin-off,
VFC,V F CORP  (VFC)  (CIK 0000103379),2019-01-18,proposed spin-off,
MSGS,Madison Square Garden Co  (MSGS)  (CIK 0001636519),2019-02-01,proposed spin-off,
ECL,ECOLAB INC.  (ECL)  (CIK 0000031462),2019-02-04,plans to spin off,
KAR,"KAR Auction Services, Inc.  (KAR)  (CIK 0001395942)",2019-04-01,proposed spin-off,
ENSG,"ENSIGN GROUP, INC  (ENSG)  (CIK 0001125376)",2019-05-06,proposed spin-off,
TT,Ingersoll-Rand plc  (TT)  (CIK 0001466258),2019-05-06,plan to spin off,
LGMK,"Nxt-ID, Inc.  (LGMK)  (CIK 0001566826)",2019-05-09,proposed spin-off,
ACM,AECOM  (ACM)  (CIK 0000868857),2019-06-17,proposed spin-off,
EMMA,"MYnd Analytics, Inc.  (EMMA)  (CIK 0000822370)",2019-07-09,proposed spin-off,
THC,TENET HEALTHCARE CORP  (THC)  (CIK 0000070318),2019-07-24,proposed spin-off,
MSGS,Madison Square Garden Co  (MSGS)  (CIK 0001636519),2019-08-20,proposed spin-off,
CRNC,Cerence Inc.  (CRNC)  (CIK 0001768267),2019-09-09,proposed spin-off,
SONN,"Chanticleer Holdings, Inc.  (SONN)  (CIK 0001106838)",2019-10-11,will spin off,
ECL,ECOLAB INC.  (ECL)  (CIK 0000031462),2019-10-29,proposed spin-off,
MPC,Marathon Petroleum Corp  (MPC)  (CIK 0001510295),2019-10-31,proposed spin-off,
SWBI,AMERICAN OUTDOOR BRANDS CORP  (SWBI)  (CIK 0001092796),2019-11-13,plan to spin off,
BXRXQ,"Baudax Bio, Inc.  (BXRXQ)  (CIK 0001780097)",2019-11-26,plans to spin off,
SNX,SYNNEX CORP  (SNX)  (CIK 0001177394),2020-01-09,proposed spin-off,
ENVB,"AMERI Holdings, Inc.  (ENVB)  (CIK 0000890821)",2020-01-13,will spin off,
MRK,"Merck & Co., Inc.  (MRK)  (CIK 0000310158)",2020-02-05,plans to spin off,
SPWRQ,SUNPOWER CORP  (SPWRQ)  (CIK 0000867773),2020-02-12,proposed spin-off,
TT,Ingersoll-Rand plc  (TT)  (CIK 0001466258),2020-02-14,proposed spin-off,
