ticker,company_name,date_str,phrase,cik
VFC,V F CORP  (VFC)  (CIK 0000103379),2019-01-18,proposed spin-off,
MSGS,Madison Square Garden Co  (MSGS)  (CIK 0001636519),2019-02-01,proposed spin-off,
ECL,ECOLAB INC.  (ECL)  (CIK 0000031462),2019-02-04,plans to spin off,
ENSG,"ENSIGN GROUP, INC  (ENSG)  (CIK 0001125376)",2019-05-06,proposed spin-off,
TT,Ingersoll-Rand plc  (TT)  (CIK 0001466258),2019-05-06,plan to spin off,
ACM,AECOM  (ACM)  (CIK 0000868857),2019-06-17,proposed spin-off,
THC,TENET HEALTHCARE CORP  (THC)  (CIK 0000070318),2019-07-24,proposed spin-off,
MPC,Marathon Petroleum Corp  (MPC)  (CIK 0001510295),2019-10-31,proposed spin-off,
SNX,SYNNEX CORP  (SNX)  (CIK 0001177394),2020-01-09,proposed spin-off,
MRK,"Merck & Co., Inc.  (MRK)  (CIK 0000310158)",2020-02-05,plans to spin off,
IR,Ingersoll Rand Inc.  (IR)  (CIK 0001699150),2020-03-04,plan to spin off,
SPHR,"MSG ENTERTAINMENT SPINCO, INC.  (SPHR)  (CIK 0001795250)",2020-04-07,proposed spin-off,
WH,"WYNDHAM HOTELS & RESORTS, INC.  (WH)  (CIK 0001722684)",2020-05-04,will spin off,
PNTG,"Pennant Group, Inc.  (PNTG)  (CIK 0001766400)",2020-05-13,proposed spin-off,
TNL,"Wyndham Destinations, Inc.  (TNL)  (CIK 0001361658)",2020-07-20,will spin off,
BHC,Bausch Health Companies Inc.  (BHC)  (CIK 0000885590),2020-08-06,plan to spin off,
PFE,PFIZER INC  (PFE)  (CIK 0000078003),2020-10-30,proposed spin-off,
XPO,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)",2020-12-02,plan to spin off,
IBM,INTERNATIONAL BUSINESS MACHINES CORP  (IBM)  (CIK 0000051143),2020-12-16,announced the spin-off,
VRNT,VERINT SYSTEMS INC  (VRNT)  (CIK 0001166388),2020-12-22,proposed spin-off,
FTI,TechnipFMC plc  (FTI)  (CIK 0001681459),2021-01-12,intends to spin off,
IAC,IAC/InterActiveCorp  (IAC)  (CIK 0001800227),2021-01-26,proposed spin-off,
ZBH,"ZIMMER BIOMET HOLDINGS, INC.  (ZBH)  (CIK 0001136869)",2021-02-05,plan to spin off,
ZD,"J2 GLOBAL, INC.  (ZD)  (CIK 0001084048)",2021-04-20,proposed spin-off,
BDX,BECTON DICKINSON & CO  (BDX)  (CIK 0000010795),2021-05-06,plan to spin off,
BBWI,"L Brands, Inc.  (BBWI)  (CIK 0000701985)",2021-05-11,plan to spin off,
BFH,ALLIANCE DATA SYSTEMS CORP  (BFH)  (CIK 0001101215),2021-05-12,plan to spin off,
GXO,"GXO Logistics, Inc.  (GXO)  (CIK 0001852244)",2021-07-26,proposed spin-off,
VSCO,Victoria's Secret & Co.  (VSCO)  (CIK 0001856437),2021-07-30,proposed spin-off,
SLVM,Sylvamo Corp  (SLVM)  (CIK 0001856485),2021-09-03,will spin off,
DELL,Dell Technologies Inc.  (DELL)  (CIK 0001571996),2021-10-19,proposed spin-off,
AXTI,AXT INC  (AXTI)  (CIK 0001051627),2022-01-10,will spin off,
EHC,Encompass Health Corp  (EHC)  (CIK 0000785161),2022-02-01,plans to spin off,
REZI,"RESIDEO TECHNOLOGIES, INC.  (REZI)  (CIK 0001740332)",2022-02-07,will spin off,
CXT,CRANE CO /DE/  (CXT)  (CIK 0000025445),2022-03-30,proposed spin-off,
ARMK,Aramark  (ARMK)  (CIK 0001584509),2022-05-10,proposed spin-off,
MMM,3M CO  (MMM)  (CIK 0000066740),2022-07-26,proposed spin-off,
LH,LABORATORY CORP OF AMERICA HOLDINGS  (LH)  (CIK 0000920148),2022-07-28,plans to spin off,
BLCO,Bausch & Lomb Corp  (BLCO)  (CIK 0001860742),2022-08-04,plan to spin off,
RXO,"RXO, Inc.  (RXO)  (CIK 0001929561)",2022-10-17,intends to spin off,
FBIN,"Fortune Brands Home & Security, Inc.  (FBIN)  (CIK 0001519751)",2022-11-22,intends to spin off,
GE,GENERAL ELECTRIC CO  (GE)  (CIK 0000040545),2022-11-23,proposed spin-off,
GEHC,GE Healthcare Holding LLC  (GEHC)  (CIK 0001932393),2022-12-08,will spin off,
SWX,"Southwest Gas Holdings, Inc.  (SWX)  (CIK 0001692115)",2022-12-15,will spin off,
JEF,Jefferies Financial Group Inc.  (JEF)  (CIK 0000096223),2022-12-19,proposed spin-off,
BAX,BAXTER INTERNATIONAL INC  (BAX)  (CIK 0000010456),2023-01-06,plan to spin off,
CR,Crane Co  (CR)  (CIK 0001944013),2023-02-07,plan to spin off,
FIS,"Fidelity National Information Services, Inc.  (FIS)  (CIK 0001136893)",2023-02-13,plans to spin off,
BWA,BORGWARNER INC  (BWA)  (CIK 0000908255),2023-02-14,intends to spin-off,
MSGE,"MSGE Spinco, Inc.  (MSGE)  (CIK 0001952073)",2023-04-04,proposed spin-off,
MDU,MDU RESOURCES GROUP INC  (MDU)  (CIK 0000067716),2023-04-10,intends to spin off,
IEP,ICAHN ENTERPRISES L.P.  (IEP)  (CIK 0000813762),2023-05-10,proposed spin-off,
PHIN,PHINIA INC.  (PHIN)  (CIK 0001968915),2023-06-13,proposed spin-off,
WPC,W. P. Carey Inc.  (WPC)  (CIK 0001025378),2023-09-21,proposed spin-off,
PODD,INSULET CORP  (PODD)  (CIK 0001145197),2023-10-03,plans to spin off,
FLEX,FLEX LTD.  (FLEX)  (CIK 0000866374),2023-10-25,plan to spin off,
WDC,WESTERN DIGITAL CORP  (WDC)  (CIK 0000106040),2023-10-30,plan to spin off,
J,JACOBS SOLUTIONS INC.  (J)  (CIK 0000052988),2023-11-21,plans to spin off,
HHH,Howard Hughes Holdings Inc.  (HHH)  (CIK 0001981792),2024-02-27,intends to spin off,
