ticker,date,h,stk,spy,abn,period,price
VINO,2023-04-04,1,-0.03225806451612903,0.0039008741758625575,-0.03615893869199159,disc,93.0
VINO,2023-04-04,3,0.013978527438256049,0.005201165567816744,0.008777361870439305,disc,93.0
VINO,2023-04-04,5,0.053763440860215055,0.014401361700904228,0.03936207915931082,disc,93.0
VINO,2023-04-04,10,-0.0967741935483871,0.010500487525041671,-0.10727468107342876,disc,93.0
ALPP,2023-07-06,1,0.40476188617768954,0.002531104549168618,0.40223078162852094,disc,1.6799999475479126
ALPP,2023-07-06,3,0.19642860310621102,0.017033408798610143,0.17939519430760087,disc,1.6799999475479126
ALPP,2023-07-06,5,0.16666672579826056,0.024467019233833754,0.1421997065644268,disc,1.6799999475479126
ALPP,2023-07-06,10,0.16666672579826056,0.03107970644670721,0.13558701935155335,disc,1.6799999475479126
IDR,2022-04-22,1,-0.0053821518773063595,-0.028960825603343707,0.02357867372603735,disc,9.289999961853027
IDR,2022-04-22,3,-0.0053821518773063595,-0.0016335959279320548,-0.0037485559493743046,disc,9.289999961853027
IDR,2022-04-22,5,-0.03982775964245323,-0.032741355999993164,-0.007086403642460062,disc,9.289999961853027
IDR,2022-04-22,10,-0.14962323704986752,-0.07080347167265752,-0.07881976537721,disc,9.289999961853027
PAR,2023-10-10,1,-0.06919023223272924,-0.006096451268467254,-0.06309378096426199,disc,39.88999938964844
PAR,2023-10-10,3,-0.04963648965986556,-0.0006417280312539387,-0.04899476162861162,disc,39.88999938964844
PAR,2023-10-10,5,-0.08849332748330198,-0.014003519817051207,-0.07448980766625077,disc,39.88999938964844
PAR,2023-10-10,10,-0.22311355614710407,-0.043018929263315804,-0.18009462688378827,disc,39.88999938964844
SOFI,2024-03-26,1,-0.008152165990639868,-0.00019109579907735028,-0.007961070191562518,disc,7.360000133514404
SOFI,2024-03-26,3,-0.02173917409602917,-0.008276384724142482,-0.01346278937188669,disc,7.360000133514404
SOFI,2024-03-26,5,-0.006793504052694651,-0.019305342270892412,0.012511838218197761,disc,7.360000133514404
SOFI,2024-03-26,10,0.038043441289652716,-0.009882032759979826,0.047925474049632544,disc,7.360000133514404
TIKK,2023-09-18,1,0.05263163398397555,-0.009193324942280203,0.06182495892625575,disc,2.2799999713897705
TIKK,2023-09-18,3,-0.08333335947572172,-0.027760787568741414,-0.05557257190698031,disc,2.2799999713897705
TIKK,2023-09-18,5,-0.12280700653653823,-0.03801582728447042,-0.0847911792520678,disc,2.2799999713897705
TIKK,2023-09-18,10,-0.12280700653653823,-0.04770616323289047,-0.07510084330364776,disc,2.2799999713897705
XTIA,2023-04-10,1,-0.03076923076923077,-0.004075987071070011,-0.02669324369816076,disc,8125.0
