ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
AAPL,2026-01-29,1,long,6.25,0.5736448332948032,-0.2982580260403251,0.8719028593351283,True
AAPL,2026-01-29,3,long,6.25,4.44961778247943,-0.6498132613579977,5.099431043837427,True
AAPL,2026-01-29,5,long,6.25,6.941862682124218,-2.365852890707829,9.307715572832048,True
AAPL,2026-01-29,10,long,6.25,1.5406667793581823,-1.839944177257841,3.380610956616023,True
AAPL,2025-07-31,1,long,9.48,-2.9305885124889586,-1.6390369519761423,-1.2915515605128163,False
AAPL,2025-07-31,3,long,9.48,-2.671583821088124,-0.6502354293976684,-2.0213483916904558,False
AAPL,2025-07-31,5,long,9.48,5.535044646859532,0.026896756963942375,5.50814788989559,True
AAPL,2025-07-31,10,long,9.48,11.77715901523557,2.036139035783399,9.741019979452172,True
AAPL,2023-08-03,1,long,5.47,-5.000792132163043,-0.45227387485355425,-4.548518257309488,False
AAPL,2023-08-03,3,long,5.47,-6.143961500519316,-0.02005522684334038,-6.123906273675975,False
AAPL,2023-08-03,5,long,5.47,-7.099227870939963,-0.6527839069369896,-6.446443964002974,False
AAPL,2023-08-03,10,long,5.47,-9.048929260410457,-2.7960815648680293,-6.252847695542428,False
AAPL,2023-05-04,1,long,6.28,5.26412068166615,1.851262878671232,3.412857802994919,True
AAPL,2023-05-04,3,long,6.28,4.172476727421557,1.4316275327691383,2.7408491946524185,True
AAPL,2023-05-04,5,long,6.28,5.373274750310228,1.7278176950255817,3.6454570552846457,True
AAPL,2023-05-04,10,long,6.28,6.308524309651434,3.480347910328229,2.8281763993232047,True
MSFT,2026-01-28,1,long,5.69,-10.28744814825421,-0.19843824489697853,-10.089009903357232,False
MSFT,2026-01-28,3,long,5.69,-12.383845682963386,-0.001434514543117239,-12.38241116842027,False
MSFT,2026-01-28,5,long,5.69,-14.283639483704338,-1.3272515783840306,-12.956387905320307,False
MSFT,2026-01-28,10,long,5.69,-16.31588871228537,-0.4975301267855636,-15.818358585499809,False
MSFT,2025-07-30,1,long,8.09,3.558047587071817,-0.3751226526699524,3.933170239741769,True
MSFT,2025-07-30,3,long,8.09,3.973441340330476,-0.5185610331521654,4.4920023734826415,True
MSFT,2025-07-30,5,long,8.09,1.8964606576381673,-0.264786183192495,2.161246840830662,True
MSFT,2025-07-30,10,long,8.09,1.0501460832045002,1.6439192895468395,-0.5937732063423394,False
MSFT,2025-04-30,1,long,7.4,8.993079573893514,0.7087027044478165,8.284376869445698,True
MSFT,2025-04-30,3,long,7.4,11.752502264545184,1.6175588164241794,10.134943448121005,True
MSFT,2025-04-30,5,long,7.4,11.029986727654304,1.1919920824793686,9.837994645174936,True
MSFT,2025-04-30,10,long,7.4,16.049201777819093,5.959904749287791,10.0892970285313,True
